mg,hour,time_index,load,wind,pv,price_grid,price_mg,latent_cg,latent_ba,cg_raw,ba_raw,p_cg,p_ba,soc_before,soc_after,p_loss,p_de,unbalanced,cg_cost,ba_cost,imbalance_cost,reward,mg_import,mg_export,grid_power,transaction_expense,balance_residual,obs_load,obs_wind,obs_pv,obs_soc,obs_price,sold_to_mg1,sold_to_mg2,sold_to_mg3,run_id,seed,config_hash,iteration,stage,algorithm,scenario,checkpoint_sha256
1,1,0,457.7,51.48,0.0,8.65,4.33,-0.1555112898349762,-0.3616231083869934,84.57303168282331,-17.332145519177764,84.57303168282331,-17.332145519177764,0.5,0.6636553824321888,2.3744177232729107,341.35353155962736,-341.35353155962736,604.6937824987424,396.36130986220087,2952.708047990777,-1976.88157017586,0.0,0.0,341.35353155962736,2952.708047990777,0.0,447.3,44.12,0.0,0.5,8.87,0.0,0.0,0.0,main_seed0,0,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,1500,pre_fed,F-MADRL,deterministic,bb696f8795a17dbaaa830eedc9bcb9df219d4f7e88383a327b045b313522c112
2,1,0,110.5,51.48,0.0,8.65,4.33,-0.47701147198677063,-0.42780134081840515,77.86141875973756,-20.174111053303744,77.86141875973756,-20.174111053303744,0.5,0.6906540550063855,2.1833461541286763,3.5160384476948536,-3.5160384476948536,853.3271025930313,390.21382666973307,30.413732572560484,-636.9773309176625,0.0,0.0,3.5160384476948536,30.413732572560484,0.0,119.6,44.12,0.0,0.5,8.87,0.0,0.0,0.0,main_seed0,0,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,1500,pre_fed,F-MADRL,deterministic,bb696f8795a17dbaaa830eedc9bcb9df219d4f7e88383a327b045b313522c112
3,1,0,124.71,51.48,0.0,8.65,4.33,-0.2640839219093323,-0.6718873977661133,74.18886213067522,-29.31100198261841,74.18886213067522,-29.31100198261841,0.5,0.7774545188348749,1.9271572029611364,30.27929705490432,-30.27929705490432,591.3251679895442,336.3683311588691,261.91591952492234,-594.8047093366679,0.0,0.0,30.27929705490432,261.91591952492234,0.0,134.98,44.12,0.0,0.5,8.87,0.0,0.0,0.0,main_seed0,0,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,1500,pre_fed,F-MADRL,deterministic,bb696f8795a17dbaaa830eedc9bcb9df219d4f7e88383a327b045b313522c112
1,2,1,336.5,38.37,0.0,8.11,4.06,-0.16763441264629364,-0.3927587866783142,83.3918383552148,-18.686805725699955,83.3918383552148,-18.686805725699955,0.6636553824321888,0.839852726061474,2.0615006525902966,235.48646802307547,-235.48646802307547,596.3303248963531,217.41529649615777,1909.7952556671419,-1361.7704385298264,0.0,0.0,235.48646802307547,1909.7952556671419,0.0,457.7,51.48,0.0,0.6636553824321888,8.65,0.0,0.0,0.0,main_seed0,0,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,1500,pre_fed,F-MADRL,deterministic,bb696f8795a17dbaaa830eedc9bcb9df219d4f7e88383a327b045b313522c112
2,2,1,109.85,38.37,0.0,8.11,4.06,-0.5264047384262085,-0.47079163789749146,72.4320713756897,-21.94193607787534,72.4320713756897,-21.94193607787534,0.6906540550063855,0.8977211396361885,1.7772027059562874,22.767067408141912,-22.767067408141912,816.2868431385923,179.70626771777867,184.6409166800309,-590.3170137682009,0.0,0.0,22.767067408141912,184.6409166800309,0.0,110.5,51.48,0.0,0.6906540550063855,8.65,0.0,0.0,0.0,main_seed0,0,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,1500,pre_fed,F-MADRL,deterministic,bb696f8795a17dbaaa830eedc9bcb9df219d4f7e88383a327b045b313522c112
3,2,1,123.98,38.37,0.0,8.11,4.06,-0.30867940187454224,-0.7766053676605225,70.07647767091876,-32.53769781017766,70.07647767091876,-13.063198968715248,0.7774545188348749,0.9,1.9076655740440702,30.504386871840566,-30.504386871840566,561.7961061342844,161.7711407702668,247.39057753062698,-485.4789122175891,0.0,0.0,30.504386871840566,247.39057753062698,0.0,124.71,51.48,0.0,0.7774545188348749,8.65,0.0,0.0,0.0,main_seed0,0,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,1500,pre_fed,F-MADRL,deterministic,bb696f8795a17dbaaa830eedc9bcb9df219d4f7e88383a327b045b313522c112
1,3,2,274.9,43.56,0.0,8.25,4.13,-0.1648700088262558,-0.3886747658252716,83.66077644248624,-18.510859639406085,83.66077644248624,-6.508103093752522,0.839852726061474,0.9,2.4142534669746745,156.60158011824092,-156.60158011824092,598.2325579221945,127.72061206959388,1291.9630359754876,-1008.958102983638,0.0,0.0,156.60158011824092,1291.9630359754876,0.0,336.5,38.37,0.0,0.839852726061474,8.11,0.0,0.0,0.0,main_seed0,0,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,1500,pre_fed,F-MADRL,deterministic,bb696f8795a17dbaaa830eedc9bcb9df219d4f7e88383a327b045b313522c112
2,3,2,112.45,43.56,0.0,8.25,4.13,-0.538791835308075,-0.475453644990921,71.10979592042433,-22.129760475718317,71.10979592042433,-0.42887396242988934,0.8977211396361885,0.9,2.284818439159889,0.49389648116545004,-0.49389648116545004,807.3338242044276,119.73412526183785,4.074645969614963,-465.5712977179402,0.0,0.0,0.49389648116545004,4.074645969614963,0.0,109.85,38.37,0.0,0.8977211396361885,8.11,0.0,0.0,0.0,main_seed0,0,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,1500,pre_fed,F-MADRL,deterministic,bb696f8795a17dbaaa830eedc9bcb9df219d4f7e88383a327b045b313522c112
3,3,2,126.91,43.56,0.0,8.25,4.13,-0.3099488914012909,-0.7768127918243408,69.96093989776568,-32.54367620468267,69.96093989776568,-0.18947368421052882,0.9,0.9,2.2666293242711033,15.845163110715944,-15.845163110715944,560.971125364117,126.80720528531852,130.72259566340654,-409.25046315642106,0.0,0.0,15.845163110715944,130.72259566340654,0.0,123.98,38.37,0.0,0.9,8.11,0.0,0.0,0.0,main_seed0,0,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,1500,pre_fed,F-MADRL,deterministic,bb696f8795a17dbaaa830eedc9bcb9df219d4f7e88383a327b045b313522c112
1,4,3,272.6,40.75,0.0,8.1,4.05,-0.16638486087322235,-0.3912578821182251,83.51337203929339,-18.622206528420023,83.51337203929339,-0.18947368421052882,0.9,0.9,2.4814779671016574,151.00757961201882,-151.00757961201882,597.1898028706829,111.40639664265923,1223.1613948573524,-965.8787971853474,0.0,0.0,151.00757961201882,1223.1613948573524,0.0,274.9,43.56,0.0,0.9,8.25,0.0,0.0,0.0,main_seed0,0,d1c1eb972d85b5605cb5db7c2c6bc30520ef1b725ec02f3d139c77d64d6a78a6,1500,pre_fed,F-MADRL,deterministic,bb696f8795a17dbaaa830eedc9bcb9df219d4f7e88383a327b045b313522c112
