mg,cg_min,cg_max,ba_min,ba_max,max_abs_imbalance
1,199.87281904340944,199.9694328985393,-0.0210526315789479,34.536698411616406,335.5793521346585
2,60.35797553858982,102.91442073299028,-0.0210526315789479,23.546949533095045,48.645244811911056
3,114.7993823827963,144.17483472021755,-0.0210526315789479,18.907210711425616,56.77286123233746
