mg,iteration,paper_reward,actual_reward,relative_error_percent
1,956,-15059.85,-23141.467780860152,53.66333516509229
2,942,-3524.99,-8461.036587552066,140.03008767548465
3,938,-6164.79,-5378.424224872899,12.755759322330546
1,1328,-15059.85,-18023.35090333493,19.678156843095575
2,1437,-3415.94,-7291.425252779124,113.45296617560975
3,1406,-3743.82,-6227.005545579634,66.32758908226447
