mg,iteration,stage,abs_deficit,abs_net_deficit,positive_deficit,unbalanced_energy_kwh,cg_cost,ba_cost,episode_reward,max_balance_residual
1,1,pre_fed,5472.140159638436,5472.140159638436,5472.140159638436,5472.140159638436,17289.244835884325,12559.94568021127,-30362.595494219357,0.0
2,1,pre_fed,717.2889563120481,708.0453145500549,4.621820880996637,717.2889563120481,31351.518412822763,13961.837035527034,-4747.633679820856,0.0
3,1,pre_fed,809.7781808144655,665.4994789628281,737.6388298886468,809.7781808144655,18916.207438868794,14426.50134433507,-5224.459449234674,0.0
1,50,pre_fed,5421.617669688168,5421.617669688168,5421.617669688168,5421.617669688168,17981.76358481206,7525.055843813401,-29964.49550143911,0.0
2,50,pre_fed,601.1961743577693,488.5321943783353,56.331989989717016,601.1961743577693,29996.69012255607,6663.066623793319,-3784.916493742923,0.0
3,50,pre_fed,793.6721087367532,637.7469545170025,715.7095316268778,793.6721087367532,18940.27128950005,18980.77789809375,-5198.9779687814425,0.0
1,500,pre_fed,3479.677560695566,3479.677560695566,3479.677560695566,3479.677560695566,34004.95451556727,3069.37271296582,-19178.379864718772,0.0
2,500,pre_fed,526.4803542112347,245.40258203900495,140.53888608611487,526.4803542112347,27701.26360509444,14196.834247315865,-3402.517035452815,0.0
3,500,pre_fed,813.7453656085985,669.4000179582927,741.5726917834456,813.7453656085985,18626.86624695086,21369.70222570027,-5394.898803445432,0.0
1,700,pre_fed,4810.906465250451,4810.906465250451,4810.906465250451,4810.906465250451,22089.573884763267,21498.565712495278,-26861.19383910369,0.0
2,700,pre_fed,522.7825043523378,245.43347677188729,138.6745137902253,522.7825043523378,27708.623388919958,13974.774429277955,-3335.2272696181662,0.0
3,700,pre_fed,524.5224537715006,23.834091588026368,274.1782726797635,524.5224537715006,24552.852222661713,3649.8675821857937,-3162.1165077342753,0.0
1,900,pre_fed,3192.1316160575334,3192.1316160575334,3192.1316160575334,3192.1316160575334,36330.600753338724,10739.93869633661,-17851.150185159284,0.0
2,900,pre_fed,602.0705692789174,426.7370041538518,514.4037867163846,602.0705692789174,23095.30025203339,3612.3071450068555,-3820.75606058012,0.0
3,900,pre_fed,559.3941263837912,268.48862463431,145.45275087474064,559.3941263837912,27058.59080019402,3358.463830719674,-3506.17704316864,0.0
1,1400,pre_fed,3180.029648342579,3180.029648342579,3180.029648342579,3180.029648342579,36712.284008501105,2852.448943216055,-17585.32030972316,0.0
2,1400,pre_fed,489.75287856518327,268.8200600968135,379.28646933099844,489.75287856518327,24248.293109792867,3175.4715719721985,-3130.3831738246827,0.0
3,1400,pre_fed,575.5972801068845,440.4524972033016,67.57239145179139,575.5972801068845,28564.699884244754,3281.9685562653167,-3672.740134609631,0.0
1,1500,pre_fed,3178.8686677944575,3178.8686677944575,3178.8686677944575,3178.8686677944575,36723.024366554106,2786.4505956343482,-17579.641191887153,2.842170943040401e-14
2,1500,pre_fed,448.4161842695461,83.49912265999448,265.95765346477026,448.4161842695461,25621.945496236924,3099.2635987405765,-2872.954947288608,0.0
3,1500,pre_fed,496.8371595264226,82.8121248515727,207.01251733742495,496.8371595264226,25459.314893642615,3261.011998842914,-3042.1505249466954,0.0
