mg,hour,time_index,load,wind,pv,price_grid,price_mg,latent_cg,latent_ba,cg_raw,ba_raw,p_cg,p_ba,soc_before,soc_after,p_loss,p_de,unbalanced,cg_cost,ba_cost,imbalance_cost,reward,mg_import,mg_export,grid_power,transaction_expense,balance_residual,obs_load,obs_wind,obs_pv,obs_soc,obs_price,sold_to_mg1,sold_to_mg2,sold_to_mg3
1,1,0,457.7,51.48,0.0,8.65,4.33,0.14361873269081116,0.3989066183567047,114.26393692165107,18.950651703713977,114.26393692165107,18.950651703713977,0.5,0.2995194557503792,3.693891772507301,276.69930314714225,-276.69930314714225,822.3453221666081,681.5355022585298,2393.4489722227804,-1948.6648983239593,86.05870589955272,0.0,190.64059724758954,2021.675362736713,0.0,447.3,44.12,0.0,0.5,8.87,0.0,0.0,0.0
2,1,0,110.5,51.48,0.0,8.65,4.33,-0.39288759231567383,0.1564367413520813,87.66143072194845,7.758649026115248,87.66143072194845,7.758649026115248,0.5,0.4173300102514184,2.938001594961274,-33.462078153102425,33.462078153102425,921.3193274159313,610.3973825219219,289.446976024336,-910.5818429810946,0.0,33.462078153102425,0.0,-144.8907984029335,0.0,119.6,44.12,0.0,0.5,8.87,33.462078153102425,0.0,0.0
3,1,0,124.71,51.48,0.0,8.65,4.33,0.2760791778564453,0.05040043592453003,126.92724018118304,2.517890172337685,126.92724018118304,2.517890172337685,0.5,0.47249589292276123,3.6185026070704143,-52.596627746450295,52.596627746450295,998.4972463027848,586.9087926233499,454.96083000679505,-1020.1834344664649,0.0,52.596627746450295,0.0,-227.7433981421298,0.0,134.98,44.12,0.0,0.5,8.87,52.596627746450295,0.0,0.0
1,2,1,336.5,38.37,0.0,8.11,4.06,-0.2500486373901367,-0.5716390013694763,75.50356182720091,-25.828097577978117,75.50356182720091,-25.828097577978117,0.2995194557503792,0.5442873438296705,1.760909284984456,250.21544503576166,-250.21544503576166,541.0567552252003,561.0896895365723,2029.247259240027,-1565.6968520009,54.65301981799159,0.0,195.56242521777006,1807.902528977161,0.0,457.7,51.48,0.0,0.2995194557503792,8.65,0.0,0.0,0.0
2,2,1,109.85,38.37,0.0,8.11,4.06,-0.3122637867927551,-0.7577486038208008,97.65067959462826,-31.98744642676973,97.65067959462826,-31.98744642676973,0.4173300102514184,0.720376091285228,2.0806646633571706,7.897431495498637,-7.897431495498637,992.1268398097134,394.58049675534164,64.04816942849394,-725.3777529967745,0.0,0.0,7.897431495498637,64.04816942849394,0.0,110.5,51.48,0.0,0.4173300102514184,8.65,0.0,0.0,0.0
3,2,1,123.98,38.37,0.0,8.11,4.06,0.2050057351589203,0.5149710178375244,120.21812584244485,23.690465808566994,120.21812584244485,23.690465808566994,0.47249589292276123,0.2221775768362105,3.6455718330202367,-54.65301981799159,54.65301981799159,943.7650900647686,811.0451476912257,443.23599072391175,-1099.023114239953,0.0,54.65301981799159,0.0,-221.89126046104585,0.0,124.71,51.48,0.0,0.47249589292276123,8.65,54.65301981799159,0.0,0.0
1,3,2,274.9,43.56,0.0,8.25,4.13,-0.7048026919364929,0.4999614655971527,39.25926102985644,23.1043425713298,39.25926102985644,23.1043425713298,0.5442873438296705,0.2999951631280133,2.118472072023725,171.09486847083747,-171.09486847083747,300.0474186613231,660.682201774456,1411.532664884409,-1186.1311426600942,0.0,0.0,171.09486847083747,1411.532664884409,0.0,336.5,38.37,0.0,0.5442873438296705,8.11,0.0,0.0,0.0
2,3,2,112.45,43.56,0.0,8.25,4.13,-0.5908265709877014,-0.1915951669216156,65.73142439078744,-9.46423416353187,65.73142439078744,-9.46423416353187,0.720376091285228,0.8088455636562103,1.9965438045451114,14.619353577289544,-14.619353577289544,771.1912036982303,232.37855163585425,120.60966701263874,-562.0897111733616,0.0,0.0,14.619353577289544,120.60966701263874,0.0,109.85,38.37,0.0,0.720376091285228,8.11,0.0,0.0,0.0
3,3,2,126.91,43.56,0.0,8.25,4.13,-1.1711318492889404,0.30981823801994324,17.536532498649503,15.013586621034591,17.536532498649503,11.564656059841118,0.2221775768362105,0.09999999999999999,1.4532237711698124,55.70203521267919,-55.70203521267919,212.8087885518774,1058.5845531435723,459.54179050460334,-865.4675661000265,0.0,0.0,55.70203521267919,459.54179050460334,0.0,123.98,38.37,0.0,0.2221775768362105,8.11,0.0,0.0,0.0
1,4,3,272.6,40.75,0.0,8.1,4.05,-0.5703585147857666,-0.32027697563171387,48.437747565753185,-15.487867130935395,48.437747565753185,-15.487867130935395,0.2999951631280133,0.4465299105456435,1.4739976086963558,200.37411717387857,-200.37411717387857,359.0682607289816,644.4932783646208,1623.0303491084164,-1313.2959441010094,6.917967020060544,0.0,193.45615015381804,1595.0125826771714,0.0,274.9,43.56,0.0,0.2999951631280133,8.25,0.0,0.0,0.0
2,4,3,110.5,40.75,0.0,8.1,4.05,-0.38322147727012634,-0.9349709749221802,88.82973916350757,-36.645156043728214,88.82973916350757,-9.765487102221284,0.8088455636562103,0.9,2.3962850412257253,-6.917967020060544,6.917967020060544,929.5224099036345,144.4665607894847,56.035532862490406,-565.0122517778047,0.0,6.917967020060544,0.0,-28.017766431245203,0.0,112.45,43.56,0.0,0.8088455636562103,8.25,6.917967020060544,0.0,0.0
3,4,3,124.71,40.75,0.0,8.1,4.05,-0.1590004563331604,-0.9683144092559814,84.23260357212456,-37.398131625682254,84.23260357212456,-37.398131625682254,0.09999999999999999,0.45508225044398143,1.7516894389288462,38.87721749248654,-38.87721749248654,664.7951760471612,763.0366819543111,314.9054616891409,-871.3686598453066,0.0,0.0,38.87721749248654,314.9054616891409,0.0,126.91,43.56,0.0,0.09999999999999999,8.25,0.0,0.0,0.0
1,5,4,245.3,27.74,0.0,8.14,4.07,-0.7160252332687378,-0.29628968238830566,38.55587976653027,-14.395675264802597,38.55587976653027,-14.395675264802597,0.4465299105456435,0.5823957657401768,1.0380040900345533,194.43779958830692,-194.43779958830692,295.5807347675793,478.23494006664,1582.7236886488183,-1178.2696817415188,120.75768347876027,0.0,73.68011610954665,1091.239916890264,0.0,272.6,40.75,0.0,0.4465299105456435,8.1,0.0,0.0,0.0
2,5,4,113.75,27.74,0.0,8.14,4.07,0.138061061501503,-0.9272034168243408,159.2066715268097,-36.46436859625216,159.2066715268097,-0.18947368421052882,0.9,0.9,3.735143956851984,-69.27205388574723,69.27205388574723,1461.9293026379848,119.10680096398887,563.8745186299825,-1072.455311115978,0.0,69.27205388574723,0.0,-281.93725931499125,0.0,110.5,40.75,0.0,0.9,8.1,69.27205388574723,0.0,0.0
3,5,4,128.38,27.74,0.0,8.14,4.07,0.5215997695922852,0.15939593315124512,147.89337747504476,7.902979252519566,147.89337747504476,7.902979252519566,0.45508225044398143,0.3709828306534138,3.670727134551287,-51.485629593013044,51.485629593013044,1175.0488085892828,691.5504755814402,419.0930248871262,-1142.8461545289247,0.0,51.485629593013044,0.0,-209.5465124435631,0.0,124.71,40.75,0.0,0.45508225044398143,8.1,51.485629593013044,0.0,0.0
1,6,5,233.7,30.15,0.0,8.13,4.07,0.13131490349769592,0.30807408690452576,113.05652927433209,14.934200474438414,113.05652927433209,14.934200474438414,0.5823957657401768,0.42402886395145,3.1628145949754107,78.72208484620487,-78.72208484620487,813.2157558227987,547.8377726411544,640.0105497996456,-1000.5320391317994,78.72208484620487,0.0,0.0,320.3988853240538,0.0,245.3,27.74,0.0,0.5823957657401768,8.14,0.0,0.0,0.0
2,6,5,120.25,30.15,0.0,8.13,4.07,0.13044515252113342,0.8671174645423889,158.15943805043756,34.99533129141676,158.15943805043756,34.99533129141676,0.9,0.5298280916692972,4.466095386837087,-98.58867395501724,98.58867395501724,1453.4551077441547,354.71605884388833,801.5259192542902,-1304.8485429211667,0.0,78.72208484620487,-19.866589108812377,-320.3988853240538,0.0,113.75,27.74,0.0,0.9,8.14,78.72208484620487,0.0,0.0
3,6,5,135.43,30.15,0.0,8.13,4.07,0.578498363494873,-0.38089513778686523,152.15731525103027,-18.17422957332506,152.15731525103027,-18.17422957332506,0.3709828306534138,0.542896045938695,3.2826617135541047,-25.420423964151126,25.420423964151126,1211.9765631602993,575.6580335127354,206.66804682854868,-997.1513217507917,0.0,0.0,-25.420423964151126,0.0,0.0,128.38,27.74,0.0,0.3709828306534138,8.14,0.0,0.0,0.0
1,7,6,274.6,28.65,0.16,8.34,4.17,-0.09599829465150833,0.5780240893363953,90.42955186050811,26.061390690386975,90.42955186050811,26.061390690386975,0.42402886395145,0.14885037790368416,2.906018851017902,132.20507630012284,-132.20507630012284,646.4948178246143,842.5049545191807,1102.5903363430245,-1295.79505434341,27.764535649451233,0.0,104.44054065067161,986.8122226848128,0.0,233.7,30.15,0.0,0.42402886395145,8.13,0.0,0.0,0.0
2,7,6,130.0,28.65,0.16,8.34,4.17,0.0024580806493759155,-0.16487614810466766,140.34413059781548,-8.169910547355034,140.34413059781548,-8.169910547355034,0.5298280916692972,0.6063825856858315,3.219684401009209,-27.764535649451233,27.764535649451233,1311.8478717443427,447.0656992845825,231.55622731642327,-995.2348991726742,0.0,27.764535649451233,0.0,-115.77811365821164,0.0,120.25,30.15,0.0,0.5298280916692972,8.13,27.764535649451233,0.0,0.0
3,7,6,146.72,28.65,0.16,8.34,4.17,-0.5366169214248657,-0.11613153666257858,50.95771665611857,-5.780613355478064,50.95771665611857,-5.780613355478064,0.542896045938695,0.5967260807238592,1.47974206601281,74.2126387653723,-74.2126387653723,428.7328781966989,466.58158249661244,618.9334073032051,-757.1239339982582,0.0,0.0,74.2126387653723,618.9334073032051,0.0,135.43,30.15,0.0,0.542896045938695,8.13,0.0,0.0,0.0
1,8,7,291.0,23.38,1.77,9.35,4.68,1.388081669807434,0.471089243888855,188.2748122923497,21.953949168653875,188.2748122923497,4.612504329048294,0.14885037790368416,0.1,4.3607463324279605,77.32342971102995,-77.32342971102995,1427.0559063563683,1026.5980127525147,722.9740677981299,-1588.3139934535066,77.32342971102995,0.0,0.0,361.8736510476201,0.0,274.6,28.65,0.16,0.14885037790368416,8.34,0.0,0.0,0.0
2,8,7,157.95,23.38,1.77,9.35,4.68,0.5463630557060242,0.6394469141960144,209.69052117579704,28.226142271308202,209.69052117579704,28.226142271308202,0.6063825856858315,0.3080525334480576,5.2613332689421055,-99.85533017816317,99.85533017816317,1890.2150317779553,648.3338935332058,933.6473371658257,-1736.0981312384934,0.0,84.68023472614098,-15.175095452022191,-396.3034985183398,0.0,130.0,28.65,0.16,0.6063825856858315,8.34,77.32342971102995,0.0,7.356805015111036
3,8,7,178.26,23.38,1.77,9.35,4.68,0.04911753535270691,1.4061050415039062,104.90780742196026,44.33320786874276,104.90780742196026,44.33320786874276,0.5967260807238592,0.12886728257564561,3.4878203058140604,7.356805015111036,-7.356805015111036,822.0680176733786,829.7861582452682,68.78612689128818,-860.3201514049675,7.356805015111036,0.0,0.0,34.42984747071964,0.0,146.72,28.65,0.16,0.5967260807238592,8.34,0.0,0.0,0.0
1,9,8,315.7,21.75,5.3,12.0,6.0,0.21169011294841766,-0.5621429681777954,120.85836492531612,-25.478284794368065,120.85836492531612,-25.478284794368065,0.1,0.34184370554649657,2.4486016026189614,195.7185214716709,-195.7185214716709,872.6244767894174,816.2738955934292,2348.6222576600508,-2018.7603150214486,0.0,0.0,195.7185214716709,2348.6222576600508,0.0,291.0,23.38,1.77,0.1,9.35,0.0,0.0,0.0
2,9,8,165.1,21.75,5.3,12.0,6.0,0.048038482666015625,-0.4022148549556732,146.72021896130028,-19.092124075391396,146.72021896130028,-19.092124075391396,0.3080525334480576,0.4888116070973797,3.093561897718178,13.515467011809307,-13.515467011809307,1361.97469585578,626.6456326171669,162.18560414171168,-1075.4029663073293,0.0,0.0,13.515467011809307,162.18560414171168,0.0,157.95,23.38,1.77,0.3080525334480576,9.35,0.0,0.0,0.0
3,9,8,186.33,21.75,5.3,12.0,6.0,-1.6004718542099,-0.13827553391456604,7.826044964002543,-6.870047024403305,7.826044964002543,-6.870047024403305,0.12886728257564561,0.19387499474232572,0.5601199587919846,158.88412201919277,-158.88412201919277,154.05116754875138,1013.7580146194704,1906.6094642303133,-1537.2093231992676,0.0,0.0,158.88412201919277,1906.6094642303133,0.0,178.26,23.38,1.77,0.12886728257564561,9.35,0.0,0.0,0.0
1,10,9,362.4,34.82,11.6,9.19,4.6,0.14209605753421783,-0.22654388844966888,114.11473514895565,-11.137312927002077,114.11473514895565,-11.137312927002077,0.34184370554649657,0.4469644909419233,2.987948444439071,215.9905262224855,-215.9905262224855,821.2158845547682,628.5985219775475,1984.9529359846417,-1717.383671258479,10.981325162504106,0.0,205.0092010599814,1934.5486534887477,0.0,315.7,21.75,5.3,0.34184370554649657,12.0,0.0,0.0,0.0
2,10,9,169.0,34.82,11.6,9.19,4.6,-0.9297257661819458,-0.8110380172729492,37.73475807602013,-33.508124138106275,37.73475807602013,-33.508124138106275,0.4888116070973797,0.8061611631951946,1.012932678758277,119.36629874084443,-119.36629874084443,590.1551568214181,305.8572270328767,1096.9762854283601,-996.4943346413274,0.0,0.0,119.36629874084443,1096.9762854283601,0.0,165.1,21.75,5.3,0.4888116070973797,12.0,0.0,0.0,0.0
3,10,9,190.73,34.82,11.6,9.19,4.6,0.5563522577285767,0.26093852519989014,150.52659456736185,12.758657861859584,150.52659456736185,8.8812882515199,0.19387499474232572,0.1,4.116557656377635,-10.981325162504106,10.981325162504106,1197.8129433208182,1074.5234914231396,100.91837824341273,-1186.6274064936854,0.0,10.981325162504106,0.0,-50.51409574751889,0.0,186.33,21.75,5.3,0.19387499474232572,12.0,10.981325162504106,0.0,0.0
