run_id,seed,config_hash,algorithm,iteration,mg,phase,episode_reward,discounted_return,cg_cost,ba_cost,imbalance_cost,abs_deficit,environment_steps,actor_loss,kl,trpo_accepted,actor_updates,actor_grad_norm,critic_loss,critic_grad_norm,critic_updates,actor_delta,critic_delta
inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,TRPO-MADRL,1,1,1,-30593.648432351245,-26636.884051811765,17861.18856983824,16187.196777099325,66472.62383424999,5403.206196007728,24,-0.10745169967412949,0.008239084854722023,1,1,1.122353196144104,1542320.375,6200196.0,4,0.1935797929763794,0.2708066403865814
inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,TRPO-MADRL,1,2,1,-8533.644541237487,-7547.302137173667,29129.593136879663,21814.57380435792,16699.469338694966,1370.6147096213558,24,-0.049102019518613815,0.008090994320809841,1,1,0.5488297939300537,70072.7734375,792681.1875,4,0.21783646941184998,0.2640545666217804
inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,TRPO-MADRL,1,3,1,-7625.019790821091,-6735.77318595268,21643.59152211251,16709.36978442331,15239.912365978613,1247.5863601212154,24,-0.10879424959421158,0.007865252904593945,1,1,1.5992375612258911,54187.609375,459086.625,4,0.18503232300281525,0.26680120825767517
inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,TRPO-MADRL,2,1,1,-33248.08821985078,-28924.214647881818,14321.315559899367,23233.361259318088,72215.54374103653,5908.478968171388,48,-0.07113330066204071,0.005389273166656494,1,1,0.38790541887283325,1897552.125,6894514.0,4,0.3097687363624573,0.26360830664634705
inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,TRPO-MADRL,2,2,1,-9409.392071181135,-8257.327102138077,33331.226501548736,16317.65376029499,18703.143257653912,1442.0358039011103,48,-0.07139988243579865,0.007222463842481375,1,1,0.6103308200836182,89645.0078125,885370.5625,4,0.252714067697525,0.25548306107521057
inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,TRPO-MADRL,2,3,1,-9134.724534769583,-8099.93341869897,20226.956926911753,17642.36138803923,18616.307041045693,1604.3875582601083,48,-0.1254557967185974,0.008311299607157707,1,1,0.9452762007713318,80761.6015625,687364.75,4,0.17048443853855133,0.26000887155532837
inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,TRPO-MADRL,3,1,1,-32297.73506468258,-28149.470976715635,15438.560903611804,19082.21730658449,70238.48777884146,5748.858234267779,72,-0.3565382659435272,0.007697307039052248,1,1,2.353424549102783,1729430.5,6810918.5,4,0.17283189296722412,0.2626678943634033
inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,TRPO-MADRL,3,2,1,-12231.339668231758,-10794.32873443134,35691.789245098844,18391.11270913609,24777.070286993465,1784.7694180189803,72,-0.09082216769456863,0.009088455699384212,1,1,1.209779977798462,379656.65625,1594154.875,4,0.16472125053405762,0.25698137283325195
inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,TRPO-MADRL,3,3,1,-5915.972124929036,-5201.457913356862,18212.14102618594,9800.669503001547,11901.590920767301,975.1423211948751,72,-0.07370151579380035,0.007260948419570923,1,1,1.2159196138381958,113927.9140625,413581.09375,4,0.22687770426273346,0.22732941806316376
inferred_20260921_seed0,0,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,TRPO-MADRL,4,1,1,-29867.032345651318,-25939.034529366927,18475.004020642613,9209.581163419563,65140.756982155726,5414.599032360284,96,-0.06824126094579697,0.007590342313051224,1,1,1.0861692428588867,1461957.0,6475811.0,4,0.19848382472991943,0.25889816880226135
