mg,hour,time_index,load,wind,pv,price_grid,price_mg,latent_cg,latent_ba,cg_raw,ba_raw,p_cg,p_ba,soc_before,soc_after,p_loss,p_de,unbalanced,cg_cost,ba_cost,imbalance_cost,reward,mg_import,mg_export,grid_power,transaction_expense,balance_residual,obs_load,obs_wind,obs_pv,obs_soc,obs_price,sold_to_mg1,sold_to_mg2,sold_to_mg3
1,1,0,457.7,51.48,0.0,8.65,4.33,1.3544609546661377,2.321197032928467,187.5102114358152,49.0457335674892,187.5102114358152,37.905,0.5,0.09999999999999992,5.537904228716305,186.34269279290106,-186.34269279290106,1420.3550524937662,846.5310470825,1611.8642926585942,-770.6766536878927,0.0,0.0,186.34269279290106,1611.8642926585942,0.0,447.3,44.12,0.0,0.5,8.87,0.0,0.0,0.0
2,1,0,110.5,51.48,0.0,8.65,4.33,-0.9394687414169312,-2.6410410404205322,37.10306995597934,-49.49438555414968,37.10306995597934,-42.21052631578948,0.5,0.9,0.9274508728037972,65.05490723261394,-65.05490723261394,586.2078846311657,234.45756980609414,562.7249475621106,-269.63953549169497,0.0,0.0,65.05490723261394,562.7249475621106,0.0,119.6,44.12,0.0,0.5,8.87,0.0,0.0,0.0
3,1,0,124.71,51.48,0.0,8.65,4.33,-0.7340097427368164,8.956441879272461,37.44876581549952,49.99999833837345,37.44876581549952,37.905,0.5,0.09999999999999992,2.5366753163099904,0.4129095008104713,-0.4129095008104713,338.90022496854135,906.6071251325,3.571667182010577,-26.51739723392559,0.0,0.0,0.4129095008104713,3.571667182010577,0.0,134.98,44.12,0.0,0.5,8.87,0.0,0.0,0.0
1,2,1,336.5,38.37,0.0,8.11,4.06,1.7500498294830322,14.272820472717285,194.13812094291515,49.99999999995993,194.13812094291515,-0.021052631578956735,0.09999999999999992,0.1,4.649741366226724,108.66267305489052,-108.66267305489052,1478.7558928197668,1052.5389067811636,881.2542784751621,-447.19032130584156,0.0,0.0,108.66267305489052,881.2542784751621,0.0,457.7,51.48,0.0,0.09999999999999992,8.65,0.0,0.0,0.0
2,2,1,109.85,38.37,0.0,8.11,4.06,-1.666968584060669,-26.155664443969727,9.639033190139934,-50.0,9.639033190139934,-0.18947368421052882,0.9,0.9,0.9563911901185881,62.98683168418918,-62.98683168418918,420.4558318223835,119.10680096398887,510.82320495877417,-240.66169488717583,0.0,0.0,62.98683168418918,510.82320495877417,0.0,110.5,51.48,0.0,0.9,8.65,0.0,0.0,0.0
3,2,1,123.98,38.37,0.0,8.11,4.06,-0.2793880105018616,22.42582893371582,72.76614242252577,50.0,72.76614242252577,-0.021052631578956735,0.09999999999999992,0.1,2.2223017958189364,15.087212004872114,-15.087212004872114,581.0729465639001,1127.9733287202218,122.35728935951283,-89.24170571746322,0.0,0.0,15.087212004872114,122.35728935951283,0.0,124.71,51.48,0.0,0.09999999999999992,8.65,0.0,0.0,0.0
1,3,2,274.9,43.56,0.0,8.25,4.13,1.8743252754211426,15.03727912902832,195.3984632486162,49.99999999999131,195.3984632486162,-0.02105263157894797,0.1,0.1,4.778748212340745,40.74133759530349,-40.74133759530349,1489.9417412454432,1052.5389067811634,336.1160351612538,-202.10182878309635,12.143425283853333,0.0,28.59791231145016,286.08512299177806,0.0,336.5,38.37,0.0,0.1,8.11,0.0,0.0,0.0
2,3,2,112.45,43.56,0.0,8.25,4.13,-1.5731078386306763,-26.350549697875977,11.547382080076874,-50.0,11.547382080076874,-0.18947368421052882,0.9,0.9,1.098358167917327,58.63044977205098,-58.63044977205098,431.60252966490157,119.10680096398887,483.7012106194206,-228.6797313913171,0.0,0.0,58.63044977205098,483.7012106194206,0.0,109.85,38.37,0.0,0.9,8.11,0.0,0.0,0.0
3,3,2,126.91,43.56,0.0,8.25,4.13,-0.016478462144732475,20.276777267456055,98.35230292122522,50.0,98.35230292122522,-0.02105263157894797,0.1,0.1,2.8378250057929253,-12.143425283853333,12.143425283853333,771.3220471264488,1127.9733287202216,100.18325859179,-83.0683738832389,0.0,12.143425283853333,0.0,-50.15234642231426,0.0,123.98,38.37,0.0,0.1,8.11,12.143425283853333,0.0,0.0
1,4,3,272.6,40.75,0.0,8.1,4.05,1.6188348531723022,15.311150550842285,192.44550088525705,49.99999999999498,192.44550088525705,-0.02105263157894797,0.1,0.1,4.663488965073562,44.089040711395484,-44.089040711395484,1463.7739586325877,1052.5389067811634,357.1212297623034,-211.03081070131157,12.358027728821853,0.0,31.73101298257363,307.07121746057487,0.0,274.9,43.56,0.0,0.1,8.25,0.0,0.0,0.0
