mg,iteration,raw_episode_reward
1,472,-22986.291445068684
1,956,-23141.467780860152
1,1328,-18023.35090333493
2,480,-8548.2329801879
2,942,-8461.036587552066
2,1437,-7291.425252779124
3,482,-7204.531854731686
3,938,-5378.424224872899
3,1406,-6227.005545579634
