iteration,mg,algorithm,episode_reward,display_reward
411,1,TRPO-MADRL,-40567.858737302784,-40860.64408300335
412,1,TRPO-MADRL,-41017.11465440483,-40848.746033013755
413,1,TRPO-MADRL,-40668.60162327122,-40827.55851773941
414,1,TRPO-MADRL,-40939.76578063911,-40820.30818175847
415,1,TRPO-MADRL,-41022.32975652761,-40810.66571654908
416,1,TRPO-MADRL,-40533.03688829795,-40794.077099435206
417,1,TRPO-MADRL,-40767.71745100053,-40774.772526328976
418,1,TRPO-MADRL,-39764.65611122581,-40732.58685098016
419,1,TRPO-MADRL,-40603.05172039222,-40700.13404010235
420,1,TRPO-MADRL,-39968.40712233055,-40648.980162667234
421,1,TRPO-MADRL,-40170.20981350816,-40627.76352045598
422,1,TRPO-MADRL,-40978.30063566929,-40656.10370035421
423,1,TRPO-MADRL,-41482.91663267376,-40680.6294139667
424,1,TRPO-MADRL,-40810.8636719703,-40695.537934275904
425,1,TRPO-MADRL,-41074.37725776144,-40701.410449579744
426,1,TRPO-MADRL,-39764.96225890641,-40682.171785267674
427,1,TRPO-MADRL,-39620.09276060983,-40636.550307447855
428,1,TRPO-MADRL,-39800.83825111287,-40597.148644388995
429,1,TRPO-MADRL,-40178.200289998655,-40563.99987432735
430,1,TRPO-MADRL,-40327.94388692538,-40530.43087304169
431,1,TRPO-MADRL,-40457.18172634576,-40524.47513888169
432,1,TRPO-MADRL,-39952.41391759375,-40495.32618268996
433,1,TRPO-MADRL,-39790.88144387274,-40453.93400044441
434,1,TRPO-MADRL,-40249.64668045106,-40433.3545063544
435,1,TRPO-MADRL,-40298.34727913044,-40432.3886540769
436,1,TRPO-MADRL,-39784.17567129743,-40401.04133143669
437,1,TRPO-MADRL,-39708.095050684686,-40348.68054728788
438,1,TRPO-MADRL,-40021.31678393844,-40322.78915371457
439,1,TRPO-MADRL,-39735.67842187216,-40274.62565936389
440,1,TRPO-MADRL,-40138.04158881767,-40239.25413265549
441,1,TRPO-MADRL,-40521.85430986576,-40238.8068295182
442,1,TRPO-MADRL,-39959.68653957738,-40206.48559306128
443,1,TRPO-MADRL,-39961.76510301058,-40214.36995273267
444,1,TRPO-MADRL,-40464.3459477072,-40208.82172182527
445,1,TRPO-MADRL,-18691.92594411776,-39357.762474696756
446,1,TRPO-MADRL,-41155.91453617504,-39397.19066360343
447,1,TRPO-MADRL,-41600.02184600491,-39422.05951201686
448,1,TRPO-MADRL,-40983.07395966698,-39402.06580509659
449,1,TRPO-MADRL,-40565.51308339016,-39392.25178155338
450,1,TRPO-MADRL,-40212.52240708698,-39357.7775875264
451,1,TRPO-MADRL,-41246.27770364264,-39417.03020531585
452,1,TRPO-MADRL,-18661.15599862761,-38578.67273483656
453,1,TRPO-MADRL,-18791.55945463442,-37738.30158297742
454,1,TRPO-MADRL,-38296.08284944789,-37663.01688535539
455,1,TRPO-MADRL,-40030.79632835849,-37651.13098301272
456,1,TRPO-MADRL,-19301.062717209745,-36804.88622264728
457,1,TRPO-MADRL,-35628.007589532164,-36631.90996952481
458,1,TRPO-MADRL,-37850.15327401628,-36554.28084273055
459,1,TRPO-MADRL,-37328.759495358296,-36437.44535532685
460,1,TRPO-MADRL,-18773.159164614,-35576.43783074619
461,1,TRPO-MADRL,-38096.85731969053,-35508.94509668191
462,1,TRPO-MADRL,-38067.62745254842,-35443.326392756455
463,1,TRPO-MADRL,-18989.318148115173,-34602.046447323526
464,1,TRPO-MADRL,-36596.92855708704,-34476.49645273212
465,1,TRPO-MADRL,-37147.34822882588,-34356.86871833245
466,1,TRPO-MADRL,-37259.1661159227,-34226.36119057473
467,1,TRPO-MADRL,-37847.68761167268,-34141.881233458545
468,1,TRPO-MADRL,-38187.38812622616,-34070.906154387165
469,1,TRPO-MADRL,-37418.59582699834,-33949.07614955881
470,1,TRPO-MADRL,-37028.80017004207,-34682.55111859579
471,1,TRPO-MADRL,-18859.62954314109,-33790.69971887443
472,1,TRPO-MADRL,-18486.51329770957,-32866.15937694261
473,1,TRPO-MADRL,-35632.63353689248,-32652.14176003163
474,1,TRPO-MADRL,-36778.55852276868,-32500.66357760677
475,1,TRPO-MADRL,-18424.392046334004,-31629.138363176655
476,1,TRPO-MADRL,-18798.915088316284,-30731.243858563597
477,1,TRPO-MADRL,-18517.198788873546,-30725.485570173434
478,1,TRPO-MADRL,-34979.69446180166,-31373.010970460124
479,1,TRPO-MADRL,-37607.40783400069,-31345.463969842236
480,1,TRPO-MADRL,-34934.69532641616,-31141.619929764547
481,1,TRPO-MADRL,-35910.21064539734,-31805.98584689205
482,1,TRPO-MADRL,-34893.69124366907,-31776.613193057525
483,1,TRPO-MADRL,-37897.79578639647,-31778.51889355273
484,1,TRPO-MADRL,-19052.798893734114,-31047.480469487768
485,1,TRPO-MADRL,-36448.41590098207,-31754.490738942488
486,1,TRPO-MADRL,-19530.52148669728,-31011.837305622757
487,1,TRPO-MADRL,-20011.87806846741,-30289.607330259518
488,1,TRPO-MADRL,-20311.273958083395,-30342.48556265825
489,1,TRPO-MADRL,-20086.178061941024,-29682.055542852402
490,1,TRPO-MADRL,-36646.634440162925,-29662.02699130589
491,1,TRPO-MADRL,-19551.088073163784,-28953.70386959553
492,1,TRPO-MADRL,-34488.79822599777,-28819.348294168532
493,1,TRPO-MADRL,-19037.79055986167,-28053.364391513955
494,1,TRPO-MADRL,-19323.39550324828,-27329.556378563953
495,1,TRPO-MADRL,-19273.79415059929,-26619.356137786242
496,1,TRPO-MADRL,-38741.05074395955,-27414.612985818978
497,1,TRPO-MADRL,-18724.497068377445,-27424.132336645693
498,1,TRPO-MADRL,-18640.403703893608,-26744.44314332574
499,1,TRPO-MADRL,-19174.66094982355,-26040.28724040794
500,1,TRPO-MADRL,-38664.26992289878,-26849.882355470527
501,1,TRPO-MADRL,-37245.29347264684,-37245.29347264684
502,1,TRPO-MADRL,-18950.034888468785,-28097.66418055781
503,1,TRPO-MADRL,-18846.374066830096,-25013.900809315237
504,1,TRPO-MADRL,-18610.682093856743,-23413.096130450616
505,1,TRPO-MADRL,-18370.91003657948,-22404.658911676386
506,1,TRPO-MADRL,-18812.212900088874,-21805.917909745138
507,1,TRPO-MADRL,-18558.075012588717,-21341.940353008504
508,1,TRPO-MADRL,-40672.911286577415,-23758.31171970462
509,1,TRPO-MADRL,-39954.27845138089,-25557.863578779758
510,1,TRPO-MADRL,-18695.571818003515,-24871.634402702133
511,1,TRPO-MADRL,-18256.790758335774,-24270.28498048701
512,1,TRPO-MADRL,-39359.75840851158,-25527.741099489056
513,1,TRPO-MADRL,-18182.07183847716,-24962.68961787276
514,1,TRPO-MADRL,-18290.02655429125,-24486.070827616935
515,1,TRPO-MADRL,-40323.8373678956,-25541.921930302182
516,1,TRPO-MADRL,-18741.358655566288,-25116.886725631186
517,1,TRPO-MADRL,-39799.01044824684,-25980.541062255637
518,1,TRPO-MADRL,-19061.792030217955,-25596.16611603132
519,1,TRPO-MADRL,-18914.66673357073,-25244.508253796554
520,1,TRPO-MADRL,-40250.62769124046,-25994.81422566875
521,1,TRPO-MADRL,-19169.208991063017,-25669.785404973238
522,1,TRPO-MADRL,-18935.296093703902,-25363.672254460995
523,1,TRPO-MADRL,-19289.61435350036,-25099.58278050618
524,1,TRPO-MADRL,-40778.1673784339,-25752.857138753174
525,1,TRPO-MADRL,-18753.57042140807,-25472.88567005937
526,1,TRPO-MADRL,-41287.508639626445,-25634.574276738553
527,1,TRPO-MADRL,-19460.80733132917,-25655.00517445297
528,1,TRPO-MADRL,-18840.433398921323,-25654.76754773662
529,1,TRPO-MADRL,-19250.588685349736,-25680.36381139634
530,1,TRPO-MADRL,-19509.86732736821,-25725.922103027886
531,1,TRPO-MADRL,-18799.562996828405,-25725.41610689747
532,1,TRPO-MADRL,-19308.234692588863,-25755.422494097475
533,1,TRPO-MADRL,-18903.20025912617,-24884.634052999423
534,1,TRPO-MADRL,-41283.30319784029,-24937.795042857797
535,1,TRPO-MADRL,-19807.95162890915,-24982.290235294025
536,1,TRPO-MADRL,-19086.587014783978,-25015.48208555195
537,1,TRPO-MADRL,-19693.4029026209,-24228.82786531633
538,1,TRPO-MADRL,-19039.66643923612,-24263.131649346687
539,1,TRPO-MADRL,-19457.4140341962,-24309.827148542885
540,1,TRPO-MADRL,-19181.72519861377,-23464.142661771606
541,1,TRPO-MADRL,-19116.552846572908,-23479.150429411875
542,1,TRPO-MADRL,-19784.705234457662,-22678.578220860305
543,1,TRPO-MADRL,-19213.00557145623,-22684.62676250984
544,1,TRPO-MADRL,-19261.51411009194,-22698.500657570687
545,1,TRPO-MADRL,-19371.33633044571,-21863.329003138897
546,1,TRPO-MADRL,-18998.86449069121,-21856.515223124028
547,1,TRPO-MADRL,-19114.29503161877,-21863.675180640617
548,1,TRPO-MADRL,-18735.00132065013,-21841.490659326613
549,1,TRPO-MADRL,-19006.23056400964,-20970.61318674964
550,1,TRPO-MADRL,-18976.693247906565,-20979.53809980958
551,1,TRPO-MADRL,-19299.695685794984,-20100.02558165632
552,1,TRPO-MADRL,-18971.94135537093,-20080.47094261799
553,1,TRPO-MADRL,-18698.003898513347,-20074.77376260167
554,1,TRPO-MADRL,-18842.734237080596,-20058.45958467091
555,1,TRPO-MADRL,-19383.50686100912,-20053.405166016546
556,1,TRPO-MADRL,-18749.99366050557,-20051.422392563632
557,1,TRPO-MADRL,-18924.93011362894,-20036.090209405233
558,1,TRPO-MADRL,-18790.771672537176,-20031.593065941674
559,1,TRPO-MADRL,-19377.688269515565,-19155.368468808687
560,1,TRPO-MADRL,-19258.055187566257,-19133.372611154966
561,1,TRPO-MADRL,-19190.416643325832,-19137.525796296643
562,1,TRPO-MADRL,-18966.19043686727,-19108.437297666496
563,1,TRPO-MADRL,-19001.995957783187,-19106.93047840838
564,1,TRPO-MADRL,-18908.06837647777,-19084.95665209964
565,1,TRPO-MADRL,-19085.273724610288,-19081.098593139504
566,1,TRPO-MADRL,-19102.72678091698,-19080.545550513267
567,1,TRPO-MADRL,-19189.498799818448,-19056.7372931277
568,1,TRPO-MADRL,-18947.84929225152,-19046.13104195951
569,1,TRPO-MADRL,-18907.754679843863,-19031.980664749586
570,1,TRPO-MADRL,-19277.492417583304,-19028.22690823509
571,1,TRPO-MADRL,-19215.75149129421,-19036.902388259212
572,1,TRPO-MADRL,-19211.70420426661,-19040.798755165124
573,1,TRPO-MADRL,-19152.171533114863,-19057.485563663715
574,1,TRPO-MADRL,-18973.824922014857,-19056.18933798392
575,1,TRPO-MADRL,-19117.71642163581,-19061.830264933094
576,1,TRPO-MADRL,-18909.140754434706,-19046.208067678683
577,1,TRPO-MADRL,-19516.010785880782,-19067.970844899075
578,1,TRPO-MADRL,-19044.952933381966,-19081.84880629382
579,1,TRPO-MADRL,-19737.041141784142,-19117.62108248196
580,1,TRPO-MADRL,-19205.266506972985,-19110.491468320517
581,1,TRPO-MADRL,-19270.299196811106,-19131.30368977274
582,1,TRPO-MADRL,-18941.75861669772,-19131.976829895488
583,1,TRPO-MADRL,-19065.38020107158,-19142.961171036866
584,1,TRPO-MADRL,-18899.443896186604,-19123.831396103706
585,1,TRPO-MADRL,-18921.377389585432,-19110.364284184474
586,1,TRPO-MADRL,-19431.715084986645,-19120.016221850907
587,1,TRPO-MADRL,-19457.920446586028,-19139.685422239658
588,1,TRPO-MADRL,-19236.80399546668,-19149.077743746995
589,1,TRPO-MADRL,-19015.218160234384,-19153.363735097264
590,1,TRPO-MADRL,-19179.99861752493,-19157.152730813847
591,1,TRPO-MADRL,-19032.110529106296,-19154.32808074142
592,1,TRPO-MADRL,-19298.992959466734,-19158.70784712735
593,1,TRPO-MADRL,-19366.624454836303,-19175.458853630742
594,1,TRPO-MADRL,-19188.637057308923,-19186.694148729344
595,1,TRPO-MADRL,-19158.622541280125,-19181.93935367722
596,1,TRPO-MADRL,-19546.8573384002,-19195.183587561456
597,1,TRPO-MADRL,-19171.65186720817,-19193.581494079117
598,1,TRPO-MADRL,-19330.117143286232,-19200.69931848597
599,1,TRPO-MADRL,-19125.06426664444,-19206.748892271156
600,1,TRPO-MADRL,-19657.060595907944,-19228.32265924204
601,1,TRPO-MADRL,-19598.035983873408,-19255.87846841959
602,1,TRPO-MADRL,-19653.38576196265,-19261.373467462865
603,1,TRPO-MADRL,-19412.66659632064,-19276.082013980413
604,1,TRPO-MADRL,-19252.35594462011,-19256.69460609385
605,1,TRPO-MADRL,-19087.543933883506,-19251.98570317027
606,1,TRPO-MADRL,-19370.89362419363,-19256.009480265573
607,1,TRPO-MADRL,-19133.75791537964,-19263.68945221285
608,1,TRPO-MADRL,-19459.22569381833,-19279.44327192272
609,1,TRPO-MADRL,-19515.10162671709,-19304.069581143936
610,1,TRPO-MADRL,-19565.07500454253,-19329.817485742224
611,1,TRPO-MADRL,-19185.950933942608,-19319.986919700463
612,1,TRPO-MADRL,-19770.25687978859,-19332.480377028565
613,1,TRPO-MADRL,-19346.909965915213,-19336.884615846506
614,1,TRPO-MADRL,-19075.428049117192,-19339.293011401816
615,1,TRPO-MADRL,-19293.93586177894,-19343.850501171975
616,1,TRPO-MADRL,-19087.422392847293,-19346.06297572162
617,1,TRPO-MADRL,-19373.07237258027,-19349.02615224616
618,1,TRPO-MADRL,-19238.909866741546,-19343.91756872237
619,1,TRPO-MADRL,-18997.95900518966,-19336.2904466376
620,1,TRPO-MADRL,-19135.249394406284,-19335.35552076264
621,1,TRPO-MADRL,-19259.28261061696,-19323.852531651315
622,1,TRPO-MADRL,-19257.56535582818,-19327.289071196115
623,1,TRPO-MADRL,-19162.62895505362,-19320.58954366681
624,1,TRPO-MADRL,-19331.74250794757,-19328.856673318936
625,1,TRPO-MADRL,-19235.643694465023,-19311.99999726122
626,1,TRPO-MADRL,-19028.909876999085,-19289.234952986248
627,1,TRPO-MADRL,-19016.72584121032,-19263.768556156152
628,1,TRPO-MADRL,-19380.59648738809,-19262.485751798853
629,1,TRPO-MADRL,-19065.68356877811,-19255.01885676517
630,1,TRPO-MADRL,-19216.47701542596,-19260.176180026872
631,1,TRPO-MADRL,-19256.75226874007,-19255.610525808726
632,1,TRPO-MADRL,-19051.99470689173,-19252.33999746921
633,1,TRPO-MADRL,-19059.970402663414,-19236.369785823015
634,1,TRPO-MADRL,-19034.437464256225,-19217.143219324582
635,1,TRPO-MADRL,-19172.920431203893,-19201.45703639103
636,1,TRPO-MADRL,-19171.29276979012,-19200.870709824936
637,1,TRPO-MADRL,-19105.288269611265,-19174.27196541784
638,1,TRPO-MADRL,-19130.201783254062,-19165.603638111395
639,1,TRPO-MADRL,-19059.578598749144,-19164.96966009667
640,1,TRPO-MADRL,-18981.429731536315,-19152.46941488697
641,1,TRPO-MADRL,-19209.64858830137,-19157.35846270513
642,1,TRPO-MADRL,-19385.34524384752,-19157.84937755582
643,1,TRPO-MADRL,-19036.002124758757,-19149.73306787651
644,1,TRPO-MADRL,-19243.69561671777,-19159.562532337633
645,1,TRPO-MADRL,-19160.3297977821,-19160.56574847267
646,1,TRPO-MADRL,-19237.66904073028,-19159.7012056772
647,1,TRPO-MADRL,-19079.163679049165,-19152.56513860604
648,1,TRPO-MADRL,-19148.638005873232,-19152.005500638825
649,1,TRPO-MADRL,-19213.717372043287,-19147.284495202653
650,1,TRPO-MADRL,-19290.01328535177,-19149.459278838123
651,1,TRPO-MADRL,-18884.93560333671,-19143.700307891628
652,1,TRPO-MADRL,-18891.4151655064,-19138.687880863472
653,1,TRPO-MADRL,-19097.57613508385,-19127.3670667713
654,1,TRPO-MADRL,-18999.99524096359,-19124.73953365872
655,1,TRPO-MADRL,-19000.84604685696,-19116.114294915962
656,1,TRPO-MADRL,-19023.986273676248,-19106.803655113406
657,1,TRPO-MADRL,-19117.798169245325,-19109.43579360755
658,1,TRPO-MADRL,-19281.44876796962,-19118.2949282198
659,1,TRPO-MADRL,-19027.86565163785,-19118.032055715063
660,1,TRPO-MADRL,-18929.367165486383,-19108.289925086367
661,1,TRPO-MADRL,-19286.52775775591,-19112.899324604994
662,1,TRPO-MADRL,-19129.48865797077,-19113.867340139375
663,1,TRPO-MADRL,-19109.296038881897,-19113.03111036449
664,1,TRPO-MADRL,-18858.226684028523,-19104.977033775664
665,1,TRPO-MADRL,-18868.274157081283,-19100.45081079746
666,1,TRPO-MADRL,-19111.532761935647,-19096.526177742835
667,1,TRPO-MADRL,-19147.28677371473,-19087.003838937526
668,1,TRPO-MADRL,-18988.262797393552,-19085.094265842916
669,1,TRPO-MADRL,-18963.823541215334,-19073.89938282282
670,1,TRPO-MADRL,-19044.23034776802,-19069.255404822252
671,1,TRPO-MADRL,-19244.503231676583,-19069.528772460108
672,1,TRPO-MADRL,-19025.15816491752,-19067.36855189484
673,1,TRPO-MADRL,-18973.15349439226,-19060.3491714356
674,1,TRPO-MADRL,-19152.44978047793,-19057.898467772986
675,1,TRPO-MADRL,-18938.272598898424,-19043.828840314854
676,1,TRPO-MADRL,-18888.24452121204,-19043.96119702987
677,1,TRPO-MADRL,-19096.00666993509,-19052.14485720701
678,1,TRPO-MADRL,-19067.24354269201,-19050.931553511342
679,1,TRPO-MADRL,-19303.06472320382,-19063.054332800948
680,1,TRPO-MADRL,-18880.82811267751,-19058.253615433772
681,1,TRPO-MADRL,-19154.83068200848,-19063.487391767063
682,1,TRPO-MADRL,-18898.291724974715,-19054.707133996235
683,1,TRPO-MADRL,-18960.66725834492,-19041.875873611247
684,1,TRPO-MADRL,-18750.28557226758,-19030.772670436436
685,1,TRPO-MADRL,-18902.092739155694,-19029.68169338321
686,1,TRPO-MADRL,-18978.474276092835,-19017.359554116687
687,1,TRPO-MADRL,-19009.247668585704,-19012.549914541283
688,1,TRPO-MADRL,-19055.58809046148,-19010.401596604468
689,1,TRPO-MADRL,-18980.1276441647,-19015.277635009916
690,1,TRPO-MADRL,-18935.19840534793,-19017.95460494058
691,1,TRPO-MADRL,-18808.73377980816,-19005.84264565548
692,1,TRPO-MADRL,-18927.11415491558,-18997.035740903513
693,1,TRPO-MADRL,-18864.49037482156,-18992.084844000634
694,1,TRPO-MADRL,-19000.46426975293,-18993.55047314214
695,1,TRPO-MADRL,-19043.00383206636,-18993.501412514073
696,1,TRPO-MADRL,-18898.822482256703,-18979.674182537277
697,1,TRPO-MADRL,-18979.755185051923,-18977.858063342654
698,1,TRPO-MADRL,-18915.43018712357,-18975.549131051906
699,1,TRPO-MADRL,-18942.615231720712,-18967.155749101614
700,1,TRPO-MADRL,-19121.336655177503,-18974.47831135278
701,1,TRPO-MADRL,-19066.12275827875,-18981.593440835448
702,1,TRPO-MADRL,-19018.0326681586,-18978.474480764387
703,1,TRPO-MADRL,-18992.790565342257,-18975.4963616704
704,1,TRPO-MADRL,-19011.66474357468,-18963.840362485236
705,1,TRPO-MADRL,-18841.927273698308,-18962.284328926064
706,1,TRPO-MADRL,-19366.30119175415,-18970.74314931589
707,1,TRPO-MADRL,-19075.61755406313,-18977.83618247943
708,1,TRPO-MADRL,-18942.6541056308,-18977.115656370865
709,1,TRPO-MADRL,-19085.561991524293,-18990.526713141135
710,1,TRPO-MADRL,-18924.830548159545,-18991.436225501286
711,1,TRPO-MADRL,-18952.99668181403,-18990.417121730134
712,1,TRPO-MADRL,-19170.47358632409,-18996.86615843967
713,1,TRPO-MADRL,-18854.784703709884,-18988.834022969604
714,1,TRPO-MADRL,-18735.240495810925,-18979.038537035452
715,1,TRPO-MADRL,-18826.09106018451,-18974.674243228917
716,1,TRPO-MADRL,-19147.214715638573,-18988.213480662136
717,1,TRPO-MADRL,-19044.171683889588,-18992.895781821095
718,1,TRPO-MADRL,-18981.97174239192,-18997.59503652391
719,1,TRPO-MADRL,-19155.71972914893,-19003.80525489975
720,1,TRPO-MADRL,-19100.989755254297,-19006.124691827266
721,1,TRPO-MADRL,-18979.49867241368,-19009.351739433547
722,1,TRPO-MADRL,-19106.845237280584,-19014.435341522694
723,1,TRPO-MADRL,-19093.38960863796,-19021.553718383268
724,1,TRPO-MADRL,-19066.34644938755,-19026.502967089942
725,1,TRPO-MADRL,-19001.30814275369,-19021.701826592987
726,1,TRPO-MADRL,-18870.12204988697,-19013.86179825732
727,1,TRPO-MADRL,-19277.294235793062,-19024.232260962697
728,1,TRPO-MADRL,-19133.06390171843,-19029.843194417743
729,1,TRPO-MADRL,-19032.325430772005,-19030.669621905636
730,1,TRPO-MADRL,-19110.879832980045,-19041.427724276906
731,1,TRPO-MADRL,-18769.526752497022,-19017.55674670662
732,1,TRPO-MADRL,-18978.091459220333,-19013.655702912907
733,1,TRPO-MADRL,-18878.93492083317,-19011.106935521002
734,1,TRPO-MADRL,-18826.143181837844,-19000.730183133546
735,1,TRPO-MADRL,-19137.32048241784,-19009.229780503876
736,1,TRPO-MADRL,-18862.33765757509,-19005.60341953432
737,1,TRPO-MADRL,-18996.868739108068,-18998.65922564568
738,1,TRPO-MADRL,-18778.05933824705,-18995.590211027167
739,1,TRPO-MADRL,-18812.910341026072,-18998.697004835773
740,1,TRPO-MADRL,-18960.209347740347,-19004.061736338004
741,1,TRPO-MADRL,-18652.33328462093,-18984.266479097296
742,1,TRPO-MADRL,-18766.43462444744,-18973.156996719612
743,1,TRPO-MADRL,-18751.39864535931,-18963.934072838307
744,1,TRPO-MADRL,-18944.971703186373,-18955.504151799807
745,1,TRPO-MADRL,-18839.372898852023,-18945.039477543716
746,1,TRPO-MADRL,-18856.161106977524,-18940.105974926268
747,1,TRPO-MADRL,-18897.3971411132,-18931.72805107957
748,1,TRPO-MADRL,-18889.93400517446,-18923.589826941035
749,1,TRPO-MADRL,-18875.47818983179,-18915.955096558802
750,1,TRPO-MADRL,-18689.69252552119,-18903.490471869503
751,1,TRPO-MADRL,-18985.71268003611,-18908.114097075468
752,1,TRPO-MADRL,-18782.1153235774,-18888.306940586845
753,1,TRPO-MADRL,-18582.74401273345,-18866.294145027445
754,1,TRPO-MADRL,-18487.239052575256,-18844.490689899572
755,1,TRPO-MADRL,-18805.642692637757,-18832.281204285882
756,1,TRPO-MADRL,-18646.64626215009,-18827.365984672004
757,1,TRPO-MADRL,-18707.84320293917,-18816.55605442076
758,1,TRPO-MADRL,-18888.96711741397,-18816.95734228399
759,1,TRPO-MADRL,-18824.766440226587,-18816.90227261954
760,1,TRPO-MADRL,-18879.968463284156,-18806.608191854193
761,1,TRPO-MADRL,-18873.15115239784,-18807.040731647103
762,1,TRPO-MADRL,-18807.92438856511,-18799.482957625383
763,1,TRPO-MADRL,-18896.06416155483,-18804.203150557692
764,1,TRPO-MADRL,-18722.764843427634,-18800.597330653756
765,1,TRPO-MADRL,-18741.83031664088,-18791.86216940978
766,1,TRPO-MADRL,-18900.733748054477,-18801.798187947123
767,1,TRPO-MADRL,-18945.30098702046,-18808.952842450042
768,1,TRPO-MADRL,-18765.947003802343,-18809.534776787765
769,1,TRPO-MADRL,-18898.075976038457,-18807.658947701846
770,1,TRPO-MADRL,-18858.51463719758,-18808.42461723567
771,1,TRPO-MADRL,-18776.919208021827,-18805.254941277442
772,1,TRPO-MADRL,-18700.94115771188,-18797.396701941387
773,1,TRPO-MADRL,-18741.493344708884,-18791.459075522765
774,1,TRPO-MADRL,-18574.562390952036,-18779.422443567575
775,1,TRPO-MADRL,-18629.41169986748,-18777.011210541426
776,1,TRPO-MADRL,-18704.89890232816,-18765.77865943311
777,1,TRPO-MADRL,-18737.315110291907,-18763.986650901687
778,1,TRPO-MADRL,-18731.123599177798,-18769.921834359462
779,1,TRPO-MADRL,-18792.74099045112,-18782.141911874496
780,1,TRPO-MADRL,-18687.42274008533,-18777.4131137724
781,1,TRPO-MADRL,-18599.082797352727,-18775.510575180506
782,1,TRPO-MADRL,-18514.353538285555,-18767.770988594362
783,1,TRPO-MADRL,-18744.54729230368,-18761.99419558995
784,1,TRPO-MADRL,-18777.04598510702,-18760.085377385167
785,1,TRPO-MADRL,-18857.009372657914,-18759.167013760118
786,1,TRPO-MADRL,-18785.484987805998,-18755.660367176446
787,1,TRPO-MADRL,-18883.38276446393,-18758.678702212394
788,1,TRPO-MADRL,-18550.6427169067,-18744.861844426472
789,1,TRPO-MADRL,-18912.28413164508,-18752.44261595517
790,1,TRPO-MADRL,-18756.746316612334,-18753.039255954027
791,1,TRPO-MADRL,-18637.175093764235,-18742.496909782418
792,1,TRPO-MADRL,-18689.691320648788,-18732.27252312755
793,1,TRPO-MADRL,-18917.6150243746,-18738.33924395044
794,1,TRPO-MADRL,-18793.116279097616,-18734.14085607281
795,1,TRPO-MADRL,-18768.703949248837,-18730.54842855486
796,1,TRPO-MADRL,-18766.81535156871,-18730.144274296734
797,1,TRPO-MADRL,-18523.87252497169,-18723.061528987124
798,1,TRPO-MADRL,-18792.356306754977,-18725.096047468967
799,1,TRPO-MADRL,-18747.7751068208,-18732.02455610372
800,1,TRPO-MADRL,-18680.99697532652,-18734.087967122083
801,1,TRPO-MADRL,-18680.79541752817,-18733.123827730084
802,1,TRPO-MADRL,-18714.64906494177,-18732.217185916077
803,1,TRPO-MADRL,-18478.62932527189,-18722.117414959837
804,1,TRPO-MADRL,-18717.814116926405,-18719.12034001885
805,1,TRPO-MADRL,-18810.553033300464,-18724.045551747455
806,1,TRPO-MADRL,-18586.4380589448,-18723.539762211138
807,1,TRPO-MADRL,-18586.409250880628,-18726.421990714945
808,1,TRPO-MADRL,-18636.35881556699,-18722.094451645477
809,1,TRPO-MADRL,-18707.807092566683,-18719.32489594386
810,1,TRPO-MADRL,-18676.524761124845,-18712.105511482536
811,1,TRPO-MADRL,-18544.84332464882,-18702.47984495625
812,1,TRPO-MADRL,-18681.66984625951,-18694.411328228078
813,1,TRPO-MADRL,-18660.90851195937,-18698.82196003018
814,1,TRPO-MADRL,-18701.43468242902,-18690.38798206154
815,1,TRPO-MADRL,-18650.78717993898,-18686.149616594605
816,1,TRPO-MADRL,-18580.670142901465,-18683.88941856009
817,1,TRPO-MADRL,-18756.932699837573,-18686.579073727644
818,1,TRPO-MADRL,-18648.3448500314,-18675.808266753917
819,1,TRPO-MADRL,-18498.88249987157,-18664.038915584875
820,1,TRPO-MADRL,-18754.75181918565,-18663.480830382345
821,1,TRPO-MADRL,-18524.487527135458,-18653.78771740502
822,1,TRPO-MADRL,-18635.96113493664,-18658.271261803617
823,1,TRPO-MADRL,-18572.535651028025,-18649.47843557454
824,1,TRPO-MADRL,-18503.33092166158,-18639.70066816817
825,1,TRPO-MADRL,-18464.169506829407,-18631.027569428283
826,1,TRPO-MADRL,-18655.69655777843,-18630.023615038295
827,1,TRPO-MADRL,-18506.62612770104,-18621.702697548666
828,1,TRPO-MADRL,-18493.97148238108,-18622.316383833033
829,1,TRPO-MADRL,-18560.59401178312,-18616.0275796273
830,1,TRPO-MADRL,-18567.87569788813,-18606.32048621081
831,1,TRPO-MADRL,-18614.19550534412,-18607.43078406678
832,1,TRPO-MADRL,-18621.2693944583,-18608.825189809886
833,1,TRPO-MADRL,-18454.429070131213,-18601.547999992457
834,1,TRPO-MADRL,-18552.08268132932,-18595.319023542965
835,1,TRPO-MADRL,-18599.740830166094,-18592.247666304615
836,1,TRPO-MADRL,-18615.68471579458,-18595.08132195044
837,1,TRPO-MADRL,-18506.07813451378,-18588.057653480613
838,1,TRPO-MADRL,-18585.543890338435,-18585.043068615774
839,1,TRPO-MADRL,-18520.903905873594,-18577.821837553558
840,1,TRPO-MADRL,-18624.586571702475,-18576.7738132241
841,1,TRPO-MADRL,-18683.386973949622,-18580.882486466027
842,1,TRPO-MADRL,-18453.31463726236,-18568.737763963014
843,1,TRPO-MADRL,-18593.14292899436,-18566.529687121536
844,1,TRPO-MADRL,-18612.89128317134,-18571.090038453527
845,1,TRPO-MADRL,-18563.29616227554,-18563.431812177125
846,1,TRPO-MADRL,-18592.675991675424,-18566.15935075872
