iteration,mg,algorithm,episode_reward,display_reward
110,1,F-MADRL,-29532.57079464125,-29873.023689039223
111,1,F-MADRL,-31237.65322380844,-29838.44656679275
112,1,F-MADRL,-30159.276849190668,-29750.01623052586
113,1,F-MADRL,-30723.46703824578,-29806.43369044031
114,1,F-MADRL,-32770.2205204967,-29910.41664310748
115,1,F-MADRL,-31911.70326800106,-29981.987430818215
116,1,F-MADRL,-29020.26292630223,-29992.073379842375
117,1,F-MADRL,-31156.01541733159,-30010.16484292357
118,1,F-MADRL,-29681.510592933897,-30016.085654546256
119,1,F-MADRL,-32451.118473276503,-30207.699940814335
120,1,F-MADRL,-31872.48900815389,-30326.349580676324
121,1,F-MADRL,-31801.753228306312,-30424.76467851825
122,1,F-MADRL,-30459.794542557756,-30466.384060905366
123,1,F-MADRL,-30110.89841391344,-30457.790739313645
124,1,F-MADRL,-30477.36218603622,-30476.086768952013
125,1,F-MADRL,-31799.22305334148,-30468.184372096555
126,1,F-MADRL,-30610.93364503594,-30472.740928011095
127,1,F-MADRL,-28589.23250353681,-30542.536561077417
128,1,F-MADRL,-30854.36878219228,-30740.92816911299
129,1,F-MADRL,-31290.99260120286,-30786.812058842348
130,1,F-MADRL,-30857.02773506681,-30743.72411018302
131,1,F-MADRL,-31147.98288965203,-30740.914822174986
132,1,F-MADRL,-30983.403373740315,-30764.134071244305
133,1,F-MADRL,-30599.495541795688,-30833.85238998902
134,1,F-MADRL,-32825.64892834217,-30916.976221484085
135,1,F-MADRL,-26591.750918177684,-30799.34342642554
136,1,F-MADRL,-30819.943163773343,-30782.63502402414
137,1,F-MADRL,-31375.44995318693,-30831.28194818399
138,1,F-MADRL,-32435.35378563833,-30899.757418079695
139,1,F-MADRL,-30941.75742293459,-30826.618894177205
140,1,F-MADRL,-31609.20557212182,-30814.51898634204
141,1,F-MADRL,-29745.903837355178,-30843.544622784153
142,1,F-MADRL,-28841.17486384455,-30750.951000644676
143,1,F-MADRL,-28468.81604870911,-30702.44321887568
144,1,F-MADRL,-29089.215784118584,-30567.96711130936
145,1,F-MADRL,-32429.194777486395,-30590.235342082662
146,1,F-MADRL,-31112.002205079065,-30562.64530115357
147,1,F-MADRL,-31762.89022401794,-30614.769128411986
148,1,F-MADRL,-31096.569757809157,-30654.195982167814
149,1,F-MADRL,-32276.593308437423,-30726.16522706386
