mg,hour,time_index,load,wind,pv,price_grid,price_mg,latent_cg,latent_ba,cg_raw,ba_raw,p_cg,p_ba,soc_before,soc_after,p_loss,p_de,unbalanced,cg_cost,ba_cost,imbalance_cost,reward,mg_import,mg_export,grid_power,transaction_expense,balance_residual,obs_load,obs_wind,obs_pv,obs_soc,obs_price,sold_to_mg1,sold_to_mg2,sold_to_mg3
1,1,0,457.7,51.48,0.0,8.65,4.33,-1.0297313928604126,6.977514266967773,22.61994116998859,49.999913022336855,22.61994116998859,37.905,0.5,0.09999999999999992,2.2400988233997716,347.9351576534112,-347.9351576534112,196.53052357445807,846.5310470825,3009.639113702007,-2026.3503421794826,0.0,0.0,347.9351576534112,3009.639113702007,0.0,447.3,44.12,0.0,0.5,8.87,0.0,0.0,0.0
2,1,0,110.5,51.48,0.0,8.65,4.33,-1.4583556652069092,-1.5221737623214722,14.37341304426605,-45.4537864738134,14.37341304426605,-42.21052631578948,0.5,0.9,0.4728577345695314,87.32997100609296,-87.32997100609296,448.21110811074334,234.45756980609414,755.4042492027041,-719.0364635597708,0.0,0.0,87.32997100609296,755.4042492027041,0.0,119.6,44.12,0.0,0.5,8.87,0.0,0.0,0.0
3,1,0,124.71,51.48,0.0,8.65,4.33,-0.9383997917175293,-5.4490742683410645,26.55138253354643,-49.99815079015689,26.55138253354643,-42.21052631578948,0.5,0.9,0.7164171243551392,89.60556090659819,-89.60556090659819,268.96080370711053,244.81166675900275,775.0881018420744,-644.4302861540939,0.0,0.0,89.60556090659819,775.0881018420744,0.0,134.98,44.12,0.0,0.5,8.87,0.0,0.0,0.0
1,2,1,336.5,38.37,0.0,8.11,4.06,-1.2112499475479126,16.85424041748047,16.294595926964238,49.99999999999977,16.294595926964238,-0.021052631578956735,0.09999999999999992,0.1,1.0928708659077058,282.9493275705224,-282.9493275705224,158.35575093926207,1052.5389067811636,2294.7190465969366,-1752.806852158681,0.0,0.0,282.9493275705224,2294.7190465969366,0.0,457.7,51.48,0.0,0.09999999999999992,8.65,0.0,0.0,0.0
2,2,1,109.85,38.37,0.0,8.11,4.06,-3.4210469722747803,-18.99013900756836,0.2986832485180324,-49.99999999999999,0.2986832485180324,-0.18947368421052882,0.9,0.9,0.7695841912861501,72.14037462697864,-72.14037462697864,366.6971988603728,119.10680096398887,585.0584382247968,-535.4312190245791,0.0,0.0,72.14037462697864,585.0584382247968,0.0,110.5,51.48,0.0,0.9,8.65,0.0,0.0,0.0
3,2,1,123.98,38.37,0.0,8.11,4.06,-1.5690237283706665,-27.12662124633789,8.312966713317193,-50.0,8.312966713317193,-0.18947368421052882,0.9,0.9,0.9298698605821334,78.41637683147547,-78.41637683147547,156.95483805235173,126.80720528531852,635.9568161032661,-459.85942972046814,0.0,0.0,78.41637683147547,635.9568161032661,0.0,124.71,51.48,0.0,0.9,8.65,0.0,0.0,0.0
1,3,2,274.9,43.56,0.0,8.25,4.13,-0.5955800414085388,18.00111198425293,46.61030401772363,49.99999999999998,46.61030401772363,-0.02105263157894797,0.1,0.1,1.8029850277228934,186.55373364157822,-186.55373364157822,347.20835455043857,1052.5389067811634,1539.0683025430203,-1469.407781937311,0.0,0.0,186.55373364157822,1539.0683025430203,0.0,336.5,38.37,0.0,0.1,8.11,0.0,0.0,0.0
2,3,2,112.45,43.56,0.0,8.25,4.13,-2.4496195316314697,-18.921722412109375,2.071195380571378,-49.99999999999999,2.071195380571378,-0.18947368421052882,0.9,0.9,0.9088344339272171,67.91711273756637,-67.91711273756637,376.7969926239596,119.10680096398887,560.3161800849225,-528.1099868364355,0.0,0.0,67.91711273756637,560.3161800849225,0.0,109.85,38.37,0.0,0.9,8.11,0.0,0.0,0.0
3,3,2,126.91,43.56,0.0,8.25,4.13,-1.439247488975525,-26.614927291870117,10.645385847101629,-50.0,10.645385847101629,-0.18947368421052882,0.9,0.9,1.0803182432578222,73.97440608036672,-73.97440608036672,170.92627205008034,126.80720528531852,610.2888501630255,-454.0111637492122,0.0,0.0,73.97440608036672,610.2888501630255,0.0,123.98,38.37,0.0,0.9,8.11,0.0,0.0,0.0
1,4,3,272.6,40.75,0.0,8.1,4.05,-0.33829307556152344,16.726482391357422,67.4047327395145,49.99999999999971,67.4047327395145,-0.02105263157894797,0.1,0.1,2.162673602158711,166.62899349422318,-166.62899349422318,485.3565950350745,1052.5389067811634,1349.6948473032078,-1443.795174559723,0.0,0.0,166.62899349422318,1349.6948473032078,0.0,274.9,43.56,0.0,0.1,8.25,0.0,0.0,0.0
