mg,hour,time_index,load,wind,pv,price_grid,price_mg,latent_cg,latent_ba,cg_raw,ba_raw,p_cg,p_ba,soc_before,soc_after,p_loss,p_de,unbalanced,cg_cost,ba_cost,imbalance_cost,reward,mg_import,mg_export,grid_power,transaction_expense,balance_residual,obs_load,obs_wind,obs_pv,obs_soc,obs_price,sold_to_mg1,sold_to_mg2,sold_to_mg3
1,1,0,457.7,51.48,0.0,8.65,4.33,-0.16944745182991028,0.5602228045463562,83.21558862567626,25.407136300481643,83.21558862567626,25.407136300481643,0.5,0.23155645999493008,3.2020544985231583,300.7993295723652,-300.7993295723652,595.0843238804422,736.5039083116399,2601.914200800959,-1197.4931550042734,49.0094207080851,0.0,251.7899088642801,2390.1935033420314,0.0,447.3,44.12,0.0,0.5,8.87,0.0,0.0,0.0
2,1,0,110.5,51.48,0.0,8.65,4.33,-0.8871016502380371,-1.035125494003296,40.60570805430377,-38.797793043578174,40.60570805430377,-38.797793043578174,0.5,0.8675790339139926,1.065758300214512,58.27784328948892,-58.27784328948892,608.1714805505396,257.5432237870233,504.1033444540792,-244.16079909108691,0.0,0.0,58.27784328948892,504.1033444540792,0.0,119.6,44.12,0.0,0.5,8.87,0.0,0.0,0.0
3,1,0,124.71,51.48,0.0,8.65,4.33,0.34544363617897034,-0.15007953345775604,133.2328551663242,-7.448140158074111,133.2328551663242,-7.448140158074111,0.5,0.569757331501704,3.5452943001650024,-49.0094207080851,49.0094207080851,1050.7173286261655,504.69196568084,423.93148912493615,-221.8773559923614,0.0,49.0094207080851,0.0,-212.2107916660085,0.0,134.98,44.12,0.0,0.5,8.87,49.0094207080851,0.0,0.0
1,2,1,336.5,38.37,0.0,8.11,4.06,-0.014737745746970177,0.3498183786869049,98.5263321178775,16.810723168223916,98.5263321178775,12.45386797211932,0.23155645999493008,0.1,2.987004001799937,190.1368039118031,-190.1368039118031,705.2008684911378,983.1522651107657,1542.009479724723,-727.6713285481634,78.95162603944289,0.0,111.18517787236021,1222.2553942649793,0.0,457.7,51.48,0.0,0.23155645999493008,8.65,0.0,0.0,0.0
2,2,1,109.85,38.37,0.0,8.11,4.06,0.0734046921133995,0.08070439100265503,150.25823886308953,4.026481585321569,150.25823886308953,4.026481585321569,0.8675790339139926,0.8234598591585691,3.853094408968222,-78.95162603944289,78.95162603944289,1390.0560881737517,176.0401357938366,640.2976871798818,-319.45588371029856,0.0,78.95162603944289,0.0,-320.5436017201381,0.0,110.5,51.48,0.0,0.8675790339139926,8.65,78.95162603944289,0.0,0.0
3,2,1,123.98,38.37,0.0,8.11,4.06,-0.7810945510864258,-0.3841862082481384,34.666549898147494,-18.316870962194834,34.666549898147494,-18.316870962194834,0.569757331501704,0.7426280909795515,1.094393578719053,70.3547146427664,-70.3547146427664,320.82946688572406,340.25713484884824,570.5767357528355,-269.98126312346744,0.0,0.0,70.3547146427664,570.5767357528355,0.0,124.71,51.48,0.0,0.569757331501704,8.65,0.0,0.0,0.0
1,3,2,274.9,43.56,0.0,8.25,4.13,0.5031887292861938,1.3137576580047607,146.46212277766003,43.26115616411677,146.46212277766003,-0.02105263157894797,0.1,0.1,3.8000214029216215,88.69895125684053,-88.69895125684053,1074.517684897376,1052.5389067811634,731.7663478689344,-371.8359883745913,88.69895125684053,0.0,0.0,366.3266686907514,0.0,336.5,38.37,0.0,0.1,8.11,0.0,0.0,0.0
2,3,2,112.45,43.56,0.0,8.25,4.13,0.42384204268455505,0.05557684600353241,196.02270827455322,2.7759847477817035,196.02270827455322,2.7759847477817035,0.8234598591585691,0.7925920473583393,4.8471738604466985,-125.06151916188823,125.06151916188823,1770.4382394100708,210.96186313052954,1031.757533085578,-503.9188919393221,0.0,108.45618078588986,-16.60533837599837,-447.9240266457251,0.0,109.85,38.37,0.0,0.8234598591585691,8.11,88.69895125684053,0.0,19.757229529049326
3,3,2,126.91,43.56,0.0,8.25,4.13,-0.3834820091724396,0.047081127762794495,63.42724313545682,2.3523185695948907,63.42724313545682,2.3523185695948907,0.7426280909795515,0.7163815866965936,2.186791234101034,19.757229529049326,-19.757229529049326,514.7309267487655,302.1214202642862,162.99714361465695,-89.68576156685666,19.757229529049326,0.0,0.0,81.59735795497372,0.0,123.98,38.37,0.0,0.7426280909795515,8.11,0.0,0.0,0.0
1,4,3,272.6,40.75,0.0,8.1,4.05,0.7559055089950562,0.5479418635368347,163.86588890975867,24.948804579402324,163.86588890975867,-0.02105263157894797,0.1,0.1,4.091896725563594,72.09706044738391,-72.09706044738391,1217.814323904121,1052.5389067811634,583.9861896238097,-308.20084994442004,72.09706044738391,0.0,0.0,291.9930948119048,0.0,274.9,43.56,0.0,0.1,8.25,0.0,0.0,0.0
