run_id,seed,config_hash,algorithm,iteration,mg,phase,episode_reward,discounted_return,cg_cost,ba_cost,imbalance_cost,abs_deficit,environment_steps,actor_loss,kl,actor_updates,trpo_accepted,actor_grad_norm,critic_loss,critic_grad_norm,critic_updates,actor_delta,critic_delta
smoke_boundary11,11,3bf1c0fc608eb83845ae4f829e224052a23422ca839506885333d95e5d2715ae,F-MADRL,1,1,1,-48054.695160654606,-42290.70756009262,17092.39617147123,10527.966218768413,68489.02793106958,5567.994241553208,24,-0.0027681190986186266,8.177151175914332e-05,4,0,1.0080127716064453,3494402.0,11248819.0,4,0.026292694732546806,0.2690388560295105
smoke_boundary11,11,3bf1c0fc608eb83845ae4f829e224052a23422ca839506885333d95e5d2715ae,F-MADRL,1,2,1,-38003.958649234075,-33988.53537145734,34074.0041369465,20664.4716746869,21269.441486834734,1778.0741888195096,24,-0.0022817899007350206,3.2501626265002415e-05,4,0,1.0148649215698242,1974243.625,7170097.0,4,0.026296216994524002,0.26318642497062683
smoke_boundary11,11,3bf1c0fc608eb83845ae4f829e224052a23422ca839506885333d95e5d2715ae,F-MADRL,1,3,1,-29885.92946257018,-26568.669823422326,19074.79708799799,23496.32267302685,17200.739164115515,1412.3071217365675,24,-0.0017906278371810913,3.422507506911643e-05,4,0,0.7312819361686707,1110167.625,5342217.5,4,0.026328258216381073,0.26727497577667236
smoke_boundary11,11,3bf1c0fc608eb83845ae4f829e224052a23422ca839506885333d95e5d2715ae,F-MADRL,2,1,1,-50184.66085291412,-44047.79871615431,20562.041724464543,19684.677659739238,60122.60232162445,5106.548660802286,48,-0.0005502402782440186,3.1158910132944584e-05,4,0,0.6492779850959778,3806204.0,11213446.0,4,0.017893221229314804,0.24635019898414612
smoke_boundary11,11,3bf1c0fc608eb83845ae4f829e224052a23422ca839506885333d95e5d2715ae,F-MADRL,2,2,1,-31618.83473540616,-28152.892036846344,26501.408454762888,20095.1098673532,16641.151148696234,1372.3925868789668,48,-0.00032369792461395264,9.529219823889434e-06,4,0,0.6018577218055725,1264848.5,5866438.5,4,0.0166954193264246,0.26099103689193726
smoke_boundary11,11,3bf1c0fc608eb83845ae4f829e224052a23422ca839506885333d95e5d2715ae,F-MADRL,2,3,1,-22938.24335351193,-20140.45018009128,20197.610056419806,12226.38462587203,13452.49202473202,1051.6233715654794,48,-0.004218722227960825,4.126585918129422e-05,4,0,2.0655500888824463,592853.8125,3942743.25,4,0.022911949083209038,0.2510594427585602
smoke_boundary11,11,3bf1c0fc608eb83845ae4f829e224052a23422ca839506885333d95e5d2715ae,F-MADRL,3,1,2,-47580.45679250565,-41649.401415299624,18245.92690286969,12125.01466554992,64789.972016591695,5429.4729861205,72,0.00016308327030856162,5.923293883824954e-06,4,0,1.3443135023117065,3362694.0,11316930.0,4,0.012816514819860458,0.2447071224451065
smoke_boundary11,11,3bf1c0fc608eb83845ae4f829e224052a23422ca839506885333d95e5d2715ae,F-MADRL,3,2,2,-32146.546283805237,-28537.841561690773,33132.2992334497,13658.929710362123,17501.86362379865,1325.2747343027852,72,-0.0005332529544830322,1.5720210285508074e-05,4,0,0.6690625548362732,1488515.0,6356900.0,4,0.014882991090416908,0.25692981481552124
smoke_boundary11,11,3bf1c0fc608eb83845ae4f829e224052a23422ca839506885333d95e5d2715ae,F-MADRL,3,3,2,-23526.397603155146,-21056.409028159815,18218.27586765189,11406.807913541015,17427.711425117388,1539.2719957098993,72,-0.000397692114347592,2.404397127975244e-05,4,0,1.0503714084625244,627554.6875,4109559.25,4,0.01585082709789276,0.25559550523757935
smoke_boundary11,11,3bf1c0fc608eb83845ae4f829e224052a23422ca839506885333d95e5d2715ae,F-MADRL,4,1,2,-46369.4739761111,-40619.84876378944,16370.648430973548,9378.092918173428,66990.2066030752,5680.924875199515,96,-0.0003998229803983122,6.793690317863366e-06,4,0,0.5527324080467224,3061574.75,11593062.0,4,0.013171575032174587,0.24778375029563904
smoke_boundary11,11,3bf1c0fc608eb83845ae4f829e224052a23422ca839506885333d95e5d2715ae,F-MADRL,4,2,2,-32875.743210299624,-29532.663547759126,32718.994264834313,18448.138910670357,14584.353245094582,1316.1101985506311,96,-0.0012158205499872565,1.972550671780482e-05,4,0,0.7596435546875,1400844.375,6417466.5,4,0.01741940900683403,0.2559294104576111
smoke_boundary11,11,3bf1c0fc608eb83845ae4f829e224052a23422ca839506885333d95e5d2715ae,F-MADRL,4,3,2,-22196.341441907163,-19838.38887847752,17868.614683062224,12027.319740110986,14496.748460641116,1248.0901222272232,96,-0.001401131390593946,2.1670450223609805e-05,4,0,1.4350111484527588,495139.15625,3866486.75,4,0.01636667177081108,0.257413387298584
smoke_boundary11,11,3bf1c0fc608eb83845ae4f829e224052a23422ca839506885333d95e5d2715ae,F-MADRL,5,1,3,-50167.83938494214,-43864.18659647738,14916.013501613721,13343.832760341607,72075.83250792895,5831.4741366157505,120,-0.00039461752749048173,1.348212481389055e-05,4,0,0.772786021232605,3931142.25,12935505.0,4,0.01341806910932064,0.24815943837165833
smoke_boundary11,11,3bf1c0fc608eb83845ae4f829e224052a23422ca839506885333d95e5d2715ae,F-MADRL,5,2,3,-30821.924648083736,-27445.53763352536,30951.985835303305,16211.41818610122,14480.445274762944,1261.2534739669372,120,-0.0008880347013473511,2.689927350729704e-05,4,0,0.5125079154968262,1224356.375,6283563.5,4,0.019549816846847534,0.2556368112564087
smoke_boundary11,11,3bf1c0fc608eb83845ae4f829e224052a23422ca839506885333d95e5d2715ae,F-MADRL,5,3,3,-22681.393263794205,-20332.260096777187,18828.031314215637,10872.182656604858,15662.572556767916,1241.9215804355508,120,-0.0010201632976531982,3.297070361441001e-05,4,0,0.5709304213523865,624413.3125,3906518.5,4,0.017833491787314415,0.2570231258869171
smoke_boundary11,11,3bf1c0fc608eb83845ae4f829e224052a23422ca839506885333d95e5d2715ae,F-MADRL,6,1,3,-44539.628165317656,-39051.78090372747,21525.440059237342,5398.967149269,62154.849122128966,5027.088133157637,144,-0.0008702824707143009,2.70657183136791e-05,4,0,0.9413995146751404,2756772.25,12436694.0,4,0.014060071669518948,0.24919982254505157
smoke_boundary11,11,3bf1c0fc608eb83845ae4f829e224052a23422ca839506885333d95e5d2715ae,F-MADRL,6,2,3,-25606.773199830226,-22894.77837401406,27878.67126004782,9004.174381080256,14330.700758532372,1218.7434179375061,144,7.055202877381817e-05,1.541983147035353e-05,4,0,0.5596655607223511,788123.9375,5011616.0,4,0.01355215348303318,0.257147878408432
smoke_boundary11,11,3bf1c0fc608eb83845ae4f829e224052a23422ca839506885333d95e5d2715ae,F-MADRL,6,3,3,-26746.38659571726,-23765.695490141392,20097.730637441597,19400.987883251684,13994.054670741247,1155.7564971552042,144,-0.00039502978324890137,2.368982859479729e-05,4,0,0.28290659189224243,944699.75,5176264.5,4,0.017343692481517792,0.2524856925010681
