mg,iteration,stage,abs_deficit,abs_net_deficit,positive_deficit,unbalanced_energy_kwh,cg_cost,ba_cost,episode_reward,max_balance_residual
1,1,pre_fed,5478.547678843455,5478.547678843455,5478.547678843455,5478.547678843455,17246.48693683349,12473.04383157578,-30394.110946356624,0.0
2,1,pre_fed,727.3731647456223,720.1112899892244,3.6309373781989507,727.3731647456223,31489.9617177462,13174.00924780242,-4799.283048785511,0.0
3,1,pre_fed,816.2804109187546,679.0685956698194,747.674503294287,816.2804109187546,18854.97677177334,13531.688796487582,-5253.436145621903,0.0
1,50,pre_fed,5250.706032794382,5250.706032794382,5250.706032794382,5250.706032794382,19041.74956340062,11296.36710553333,-29060.12979655692,0.0
2,50,pre_fed,552.087857154882,362.311517508718,94.888169823082,552.087857154882,28843.08332796477,10385.56864091435,-3459.4720084203973,0.0
3,50,pre_fed,719.3140648217384,521.2774500365986,620.2957574291686,719.3140648217384,20366.652978743954,9264.26635672606,-4497.701233222958,0.0
1,500,pre_fed,4258.132032930396,4258.132032930396,4258.132032930396,4258.132032930396,26585.86176330768,24451.447608232353,-23856.832105939728,0.0
2,500,pre_fed,589.1289356405158,499.7666032735972,44.68116618345928,589.1289356405158,29451.634889482826,21474.384287341847,-4071.904727193763,0.0
3,500,pre_fed,568.3998676174403,62.412436242684336,315.4061519300624,568.3998676174403,24223.740493577403,7590.828745001489,-3437.0238872221107,0.0
1,700,pre_fed,4377.274330395134,4377.274330395134,4377.274330395134,4377.274330395134,25599.332981552907,24661.62141787405,-24479.348140579186,1.4210854715202004e-14
2,700,pre_fed,564.865031182936,391.9272847009227,86.46887324100666,564.865031182936,28611.59280151447,24747.2494633787,-3801.3921774761566,0.0
3,700,pre_fed,625.3693360009918,39.21964865075803,293.0748436751169,625.3693360009918,24395.922140716415,26432.685979198952,-4084.5489512594886,0.0
1,900,pre_fed,3153.162740988736,3153.162740988736,3153.162740988736,3153.162740988736,36206.967253153234,24997.56671095366,-17974.58981082761,1.4210854715202004e-14
2,900,pre_fed,548.4811722037448,100.92058918341117,324.700880693578,548.4811722037448,24886.78187001554,25578.253220959414,-3724.4742986083575,0.0
3,900,pre_fed,620.0830297683756,211.27301220384788,204.40500878226382,620.0830297683756,25858.471618395717,26849.9936856976,-4175.117900365663,0.0
1,1400,pre_fed,3100.3045450292566,3100.3045450292566,3100.3045450292566,3100.3045450292566,36688.794846434015,25054.92590304926,-17715.034877543523,0.0
2,1400,pre_fed,708.9878685005172,630.5656093462514,669.7767389233843,708.9878685005172,21060.046168713256,25839.10356193973,-5017.284874403454,0.0
3,1400,pre_fed,521.603488738457,104.65880756919755,313.1311481538273,521.603488738457,23201.80158998424,26844.85022937427,-3619.7728627117917,0.0
1,1500,pre_fed,3101.204689648146,3101.204689648146,3101.204689648146,3101.204689648146,36680.56989588674,25054.92590304926,-17719.345172150825,2.842170943040401e-14
2,1500,pre_fed,529.4849937921631,364.18314949646793,446.8340716443155,529.4849937921631,22968.370976134094,25788.263922992846,-3799.791535316972,0.0
3,1500,pre_fed,482.68969970774486,60.02381566119847,211.3329420232732,482.68969970774486,24596.64358658305,26822.190953591024,-3549.934368767268,0.0
