hour,ratio_wde_over_wc,cg_reading_ratio_error
1,0.9098583648306987,0.0009555267193582634
2,1.0103353120201954,0.0010191499534462367
3,0.9854799877195535,0.0010018552875695733
4,1.0224411397355635,0.001020408163265306
5,0.9608828153110472,0.0010153938725367296
6,0.9670875563765574,0.0010166428194894194
7,0.9659000222382567,0.0009910438995742181
8,0.8398928563003694,0.0008839899596202117
9,0.6624004233522387,0.0006887755102040817
10,0.8922852881870611,0.0008993804268170815
11,0.6588857662293235,0.0006719761075161772
12,0.39151183210727925,0.0003992901508429459
13,0.3031105367800858,0.00030817696205999174
14,0.2972941572552369,0.00030220497705480727
15,0.5814972131532106,0.0005985015295039087
16,0.4422358198045249,0.0004774873554274396
17,0.4888754753147494,0.000503368216957916
18,0.847293119686964,0.0008408246309714119
19,0.9188827145261818,0.0009577411497623383
20,0.9111957679568332,0.0009318270713020271
21,0.9769695182324284,0.0009898570206525723
22,0.5114481078594032,0.0005027558468642931
23,0.49242520985542065,0.000510519216951759
24,0.8876455540882975,0.0009318270713020271
