mg,hour,cg,ba_plot,u_plot,u_paper,u_alternative
1,1,123.0166270783848,7.953821656050956,-292.0388349514563,-278.89856024025295,-292.8226226318895
1,2,142.58907363420428,-3.511146496815287,-153.0097087378641,-162.60103140535878,-153.8744820702906
1,3,138.74109263657957,3.738057324840765,-97.86407766990293,-92.58163303780807,-98.12259504137856
1,4,147.90973871733968,-0.9076433121019108,-84.66019417475728,-88.60294650286704,-84.92829179085282
1,5,120.0712589073634,1.2300955414012738,-99.41747572815534,-99.23947264021064,-100.18464826769753
1,6,122.541567695962,-3.415605095541401,-80.0,-87.40955665158779,-79.15389893641165
1,7,134.22802850356294,1.4331210191082804,-114.9514563106796,-113.41827346778223,-114.6111415903899
1,8,121.97149643705464,2.173566878980892,-147.5728155339806,-144.6908379502852,-147.501549737507
1,9,127.76722090261282,-2.7945859872611463,-159.2233009708738,-166.71781778295534,-159.66431117902476
1,10,142.96912114014253,3.976910828025478,-177.8640776699029,-172.90128867119535,-178.8419117910041
1,11,137.17339667458432,0.501592356687898,-122.71844660194176,-122.54471074935324,-121.52301372528257
1,12,137.17339667458432,0.071656050955414,-142.1359223300971,-144.07744832897106,-142.1180767826074
1,13,138.6935866983373,2.9856687898089174,-152.23300970873785,-148.7891296216167,-152.69656127055688
1,14,138.78859857482186,-1.4331210191082804,-108.7378640776699,-112.55043199540071,-107.58989760200919
1,15,132.70783847980996,0.9912420382165604,-132.03883495145632,-133.01630109233398,-132.9362695228225
1,16,110.0,-0.1671974522292993,-165.4368932038835,-168.3174535031847,-166.47127452229302
1,17,132.51781472684087,-0.2627388535031847,-123.49514563106796,-124.00902564412905,-121.78175195545938
1,18,150.7600950118765,2.6751592356687897,-235.3398058252427,-233.12205083740565,-236.5752135815544
1,19,126.6270783847981,-0.2030254777070063,-387.5728155339806,-389.4934281510507,-387.55769717611986
1,20,135.84323040380048,-2.699044585987261,-393.00970873786406,-401.0230978985431,-394.0853477601102
1,21,140.40380047505937,3.845541401273885,-388.3495145631068,-383.55244496119343,-389.3957235169524
1,22,155.5581947743468,-3.39171974522293,-340.1941747572816,-350.5772544714586,-341.97978462562594
1,23,129.19239904988123,0.214968152866242,-273.3980582524272,-274.49538014130746,-273.25464341195516
1,24,123.20665083135393,4.10828025477707,-285.04854368932035,-279.29376753559166,-285.7138131291889
2,1,98.77551020408164,24.94939271255061,12.9957805907173,61.20080485829959,13.553056316615724
2,2,63.42857142857143,0.1012145748987854,-9.282700421940929,-9.988209716599187,-9.169616714864091
2,3,106.53061224489797,0.1518218623481781,36.45569620253164,34.7875854251012,35.98940247872427
2,4,80.3265306122449,0.1518218623481781,9.11392405063291,8.303785425101196,9.215461662397757
2,5,63.265306122448976,0.0506072874493927,-24.13502109704641,-24.515204858299597,-23.704848153350426
2,6,110.77551020408164,0.1265182186234817,19.240506329113924,17.980987854251026,19.141002065603573
2,7,134.6122448979592,0.1518218623481781,31.729957805907173,30.302585425101228,31.637718805254877
2,8,125.46938775510203,0.1518218623481781,-8.945147679324894,-10.194214574898751,-8.98710976617366
2,9,129.6326530612245,0.1265182186234817,-9.957805907172997,-11.42701214574896,-10.109426505824985
2,10,134.77551020408163,-0.2024291497975708,10.80168776371308,8.373219433198358,10.583959960340394
2,11,97.22448979591836,0.5313765182186234,-14.683544303797468,-15.215451012145763,-14.651917855077244
2,12,113.95918367346938,0.1265182186234817,16.371308016877638,14.876387854251021,16.495538800297453
2,13,144.0816326530612,0.1518218623481781,32.573839662447256,30.563985425101208,32.29311268280591
2,14,120.57142857142856,0.0253036437246963,27.848101265822788,25.87599757085019,27.781263678426825
2,15,116.6530612244898,0.2024291497975708,14.852320675105483,13.37698056680162,14.850425753945302
2,16,100.16326530612244,0.1012145748987854,-31.89873417721519,-33.1444097165992,-31.925369776088587
2,17,116.40816326530611,0.1518218623481781,-12.9957805907173,-13.840214574898766,-12.590722011071648
2,18,116.6530612244898,0.1518218623481781,-18.22784810126582,-19.469814574898777,-18.293073031479793
2,19,127.51020408163264,0.1518218623481781,-9.78902953586498,-10.980214574898781,-9.734701602908387
2,20,138.69387755102042,0.1265182186234817,-2.869198312236287,-4.0104121457489725,-2.610514260927033
