mg,cg_daily_cost,abs_unbalanced,price_weighted_unbalanced,fitted_generation_coefficient,fitted_battery_coefficient,fitted_balance_rmse,fig09_1400_cg_cost,fig09_1400_abs_deficit
1,23375.675242635734,4656.310679611651,55761.40582524272,0.9914154047144149,-0.9406231267602745,0.8377071229559365,36039.11980440098,3061.514195583596
2,26890.188525447727,424.97890295358644,5614.899578059071,0.990218835136758,-1.0137767607159591,0.1931925005164457,26503.6674816626,506.3091482649843
3,25352.864739221943,546.3829787234042,5889.348085106383,0.9901379255709787,-1.0101812580277807,0.23582650279215686,25892.420537897317,406.9400630914824
