mg,hour,time_index,load,wind,pv,price_grid,price_mg,latent_cg,latent_ba,cg_raw,ba_raw,p_cg,p_ba,soc_before,soc_after,p_loss,p_de,unbalanced,cg_cost,ba_cost,imbalance_cost,reward,mg_import,mg_export,grid_power,transaction_expense,balance_residual,obs_load,obs_wind,obs_pv,obs_soc,obs_price,sold_to_mg1,sold_to_mg2,sold_to_mg3
1,1,0,457.7,51.48,0.0,8.65,4.33,4.1592326164245605,-0.784989058971405,199.95121789853013,-32.77804887834923,199.95121789853013,-32.77804887834923,0.5,0.8103914643443177,4.373063380403618,243.4198943602227,-243.4198943602227,1530.5629316463464,287.184814508687,2105.5820862159267,-983.8668937202676,232.61103384045649,0.0,10.808860519766228,1100.7024200251544,0.0,447.3,44.12,0.0,0.5,8.87,0.0,0.0,0.0
2,1,0,110.5,51.48,0.0,8.65,4.33,0.30994758009910583,-0.42756348848342896,182.05451712621635,-20.16415357419604,182.05451712621635,-20.16415357419604,0.5,0.6905594589548624,4.2674072710404065,-98.6029562809799,98.6029562809799,1650.9628960429634,390.2877857092543,852.9155718304761,-424.63702095875857,0.0,98.6029562809799,0.0,-426.95080069664294,0.0,119.6,44.12,0.0,0.5,8.87,98.6029562809799,0.0,0.0
3,1,0,124.71,51.48,0.0,8.65,4.33,0.9866641759872437,0.9471457004547119,175.59363237549067,36.92440595050582,175.59363237549067,36.92440595050582,0.5,0.1103220426262545,5.27996076651993,-134.0080775594766,134.0080775594766,1421.1136795443808,897.1644469554672,1159.1698708894726,-567.9920044302596,0.0,134.0080775594766,0.0,-580.2549758325337,0.0,134.98,44.12,0.0,0.5,8.87,134.0080775594766,0.0,0.0
1,2,1,336.5,38.37,0.0,8.11,4.06,3.4722049236297607,-1.464867353439331,199.8073838682679,-44.92969074254882,199.8073838682679,-9.603086166775883,0.8103914643443177,0.9,4.57148595402984,112.49718825253782,-112.49718825253782,1529.2744599775713,135.79322243428211,912.3521967280817,-443.85984217587384,63.98940852325414,0.0,48.50777972928368,653.1950922089025,0.0,457.7,51.48,0.0,0.8103914643443177,8.65,0.0,0.0,0.0
2,2,1,109.85,38.37,0.0,8.11,4.06,-0.7784911394119263,-0.11162135004997253,48.742427135004405,-5.558003660235043,48.742427135004405,-5.558003660235043,0.6905594589548624,0.7419793748091855,1.631088469495387,29.926664994726025,-29.926664994726025,659.9132500697102,289.65049177688115,242.70525310722803,-128.20863873518445,0.0,0.0,29.926664994726025,242.70525310722803,0.0,110.5,51.48,0.0,0.6905594589548624,8.65,0.0,0.0,0.0
3,2,1,123.98,38.37,0.0,8.11,4.06,1.2056485414505005,-0.6963227391242981,183.53694318715682,-30.10142428587707,183.53694318715682,-30.10142428587707,0.1103220426262545,0.3960649292568341,3.836110378025595,-63.98940852325414,63.98940852325414,1494.3648303049945,816.016658213857,518.954103123591,-279.736976175993,0.0,63.98940852325414,0.0,-259.7969986044118,0.0,124.71,51.48,0.0,0.1103220426262545,8.65,63.98940852325414,0.0,0.0
1,3,2,274.9,43.56,0.0,8.25,4.13,3.1507954597473145,-0.7843158841133118,199.63399389303856,-32.75884685227793,199.63399389303856,-0.18947368421052882,0.9,0.9,4.860090404176561,36.7555701953485,-36.7555701953485,1527.7216703614351,111.40639664265923,303.2334541116251,-169.2376156903132,36.7555701953485,0.0,0.0,151.80050490678929,0.0,336.5,38.37,0.0,0.9,8.11,0.0,0.0,0.0
2,3,2,112.45,43.56,0.0,8.25,4.13,-0.2863788306713104,1.003039002418518,100.96821075365051,38.14337539598557,100.96821075365051,38.14337539598557,0.7419793748091855,0.3389862013649822,3.6534317229927216,-66.56815442664335,66.56815442664335,1015.9782419099662,561.6717772858317,549.1872740198077,-278.6872736928294,0.0,36.7555701953485,-29.81258423129485,-151.80050490678929,0.0,109.85,38.37,0.0,0.7419793748091855,8.11,36.7555701953485,0.0,0.0
3,3,2,126.91,43.56,0.0,8.25,4.13,0.5063036680221558,-0.19747228920459747,146.70601979715374,-9.747243705498242,146.70601979715374,-9.747243705498242,0.3960649292568341,0.4878716146005537,3.61037552183311,-49.998400569822394,49.998400569822394,1164.8272093463304,615.1046825568644,412.48680470103477,-221.21769995352955,0.0,0.0,-49.998400569822394,0.0,0.0,123.98,38.37,0.0,0.3960649292568341,8.11,0.0,0.0,0.0
1,4,3,272.6,40.75,0.0,8.1,4.05,2.15773868560791,-1.567757487297058,197.36319413457164,-45.83341622304716,197.36319413457164,-0.18947368421052882,0.9,0.9,4.758474409007222,39.43475395864613,-39.43475395864613,1507.4305366816548,111.40639664265923,319.4215070650336,-176.11641684575142,29.03320305125885,0.0,10.401550907387275,201.83703470743527,0.0,274.9,43.56,0.0,0.9,8.25,0.0,0.0,0.0
