mg,cg_min,cg_max,ba_min,ba_max,ba_near_zero_hours,deficit_hours,max_abs_unbalanced
1,81.09227167430217,85.28594945221421,-18.686805725699955,-0.1894736842105288,21,24,450.6432690144993
2,60.36168385869195,77.86141875973756,-21.94193607787534,-0.1894736842105288,22,24,69.67075473307976
3,68.69681114230931,74.18886213067522,-29.31100198261841,-0.1894736842105288,22,24,92.31301242934984
