mg,iteration,paper,actual,signed_difference,absolute_difference,relative_error_percent
1,956,-15059.85,-50065.70996997783,-35005.85996997783,35005.85996997783,232.44494447141125
2,942,-3524.99,-21122.09866791708,-17597.108667917077,17597.108667917077,499.2101727357263
