mg,phase_end,last50_mean
1,500,-48841.055862534464
1,1000,-49387.99689923304
1,1500,-45678.75082624999
2,500,-31946.235142611633
2,1000,-21014.939364714497
2,1500,-23151.014969626478
3,500,-24226.092740274762
3,1000,-19840.11486668072
3,1500,-18873.389849370928
