run_id,seed,config_hash,algorithm,iteration,mg,phase,episode_reward,discounted_return,cg_cost,ba_cost,imbalance_cost,abs_deficit,environment_steps,actor_loss,kl,actor_updates,trpo_accepted,actor_grad_norm,critic_loss,critic_grad_norm,critic_updates,actor_delta,critic_delta
inferred_20260921_seed2,2,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,F-MADRL,1,1,1,-30463.958551282776,-26519.32681117591,16788.23010706258,10225.612397043582,66497.07044711255,5660.8615093722,24,-0.0016871591797098517,5.276466254144907e-05,4,0,0.7149840593338013,1507134.125,6270387.5,4,0.026036007329821587,0.268793523311615
inferred_20260921_seed2,2,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,F-MADRL,1,2,1,-9972.619231954963,-8926.27599196882,33462.34282608246,9323.500806977752,20259.783020652794,1572.8897126974148,24,-0.0018830547342076898,4.7112072934396565e-05,4,0,0.7391378879547119,169660.546875,932166.875,4,0.026155030354857445,0.2618257403373718
inferred_20260921_seed2,2,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,F-MADRL,1,3,1,-8042.31801928339,-7007.267952413763,17110.007162324946,19555.139142224543,16242.255762649776,1197.4903448834252,24,-0.001015757559798658,2.75707570835948e-05,4,0,0.3837226927280426,124345.6796875,654053.9375,4,0.026143543422222137,0.26338520646095276
inferred_20260921_seed2,2,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,F-MADRL,2,1,1,-31684.906667010742,-27464.664430864206,17378.40893961827,16323.688986328927,68913.03268553733,5561.187370294761,48,-0.00638928497210145,5.451624747365713e-05,4,0,2.838427782058716,1712193.0,6665043.0,4,0.022532526403665543,0.2585623562335968
inferred_20260921_seed2,2,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,F-MADRL,2,2,1,-9308.50883473144,-8162.2040986624625,30974.478502547274,10956.274641503916,18821.98615966759,1607.7736914069474,48,-0.0017519891262054443,2.618829603306949e-05,4,0,1.473117470741272,43815.015625,752202.8125,4,0.019230328500270844,0.2571699917316437
inferred_20260921_seed2,2,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,F-MADRL,2,3,1,-7544.50096306157,-6624.5277116103425,20049.00347493202,22925.198617780727,14855.593158238478,1233.349678306653,48,-0.0006488909129984677,1.7818916603573598e-05,4,0,0.720069408416748,55238.19921875,484985.25,4,0.018173016607761383,0.25343647599220276
inferred_20260921_seed2,2,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,F-MADRL,3,1,1,-31426.202039748074,-27380.883492390927,17613.73725196601,16663.567945625706,68312.56874621387,5499.504719688231,72,-5.060434341430664e-05,2.0924102500430308e-05,4,0,0.8079411387443542,1778109.125,6730729.0,4,0.015340646728873253,0.2564978301525116
inferred_20260921_seed2,2,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,F-MADRL,3,2,1,-10585.940613323031,-9463.297200591533,35581.59828433269,16666.39718075126,21202.179342269672,1918.599684486603,72,-0.0014639496803283691,1.7892647520056926e-05,4,0,1.3684173822402954,99159.7421875,978082.25,4,0.01736946403980255,0.24909049272537231
inferred_20260921_seed2,2,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,F-MADRL,3,3,1,-8073.691378478468,-7097.728033457061,20600.922974048066,14253.652601737516,16392.444148806127,1236.6061425913958,72,-0.00010384122288087383,1.4086085684539285e-06,4,0,0.9285526871681213,128843.09375,483984.5,4,0.012807540595531464,0.24772237241268158
inferred_20260921_seed2,2,11ed1195aabfcd298bcaf379e7f064ad8010cd8ca67a057b647baa8bf9ef6e77,F-MADRL,4,1,1,-31400.334276830392,-27434.86050688455,15093.176667181428,6403.571027042826,68823.10960654647,5843.561219499111,96,-0.00015373528003692627,1.5807163435965776e-06,4,0,0.8072454333305359,1389643.125,7406602.0,4,0.013156650587916374,0.24362191557884216
