mg,hour,time_index,load,wind,pv,price_grid,price_mg,latent_cg,latent_ba,cg_raw,ba_raw,p_cg,p_ba,soc_before,soc_after,p_loss,p_de,unbalanced,cg_cost,ba_cost,imbalance_cost,reward,mg_import,mg_export,grid_power,transaction_expense,balance_residual,obs_load,obs_wind,obs_pv,obs_soc,obs_price,sold_to_mg1,sold_to_mg2,sold_to_mg3
1,1,0,457.7,51.48,0.0,8.65,4.33,0.5684505701065063,-0.17237460613250732,151.42204607846804,-8.534370012311904,151.42204607846804,-8.534370012311904,0.5,0.5800765151169631,3.8873535213231225,267.219677455167,-267.219677455167,1114.8560554814137,461.810093667594,2311.4502099871947,-1944.0581795681012,218.77318638546603,0.0,48.44649106970098,1366.3500448019813,0.0,447.3,44.12,0.0,0.5,8.87,0.0,0.0,0.0
2,1,0,110.5,51.48,0.0,8.65,4.33,0.11700475960969925,-0.19348907470703125,156.30632236786542,-9.55550391272055,156.30632236786542,-9.55550391272055,0.5,0.5897772871708452,3.964616369102897,-83.76620208604197,83.76620208604197,1438.5005757819451,470.9195656425784,724.5776480442631,-1316.9988947343934,0.0,83.76620208604197,0.0,-362.7076550325617,0.0,119.6,44.12,0.0,0.5,8.87,83.76620208604197,0.0,0.0
3,1,0,124.71,51.48,0.0,8.65,4.33,1.0697184801101685,0.8518531322479248,178.93551344856127,34.6018174692184,178.93551344856127,34.6018174692184,0.5,0.13477034242927993,5.300346618355593,-135.00698429942406,135.00698429942406,1451.7855538805932,874.9316924645302,1167.8104141900183,-1747.263830267571,0.0,135.00698429942406,0.0,-584.5802420165062,0.0,134.98,44.12,0.0,0.5,8.87,135.00698429942406,0.0,0.0
1,2,1,336.5,38.37,0.0,8.11,4.06,-0.31788015365600586,-0.31314817070961,69.24111109996221,-15.164919525801999,69.24111109996221,-15.164919525801999,0.5800765151169631,0.7229830975818481,1.8489238314832046,245.90273225732298,-245.90273225732298,497.89324036927803,325.9353462269724,1994.2711586068892,-1409.0498726015699,133.30938136255705,0.0,112.59335089476593,1454.3681640885334,0.0,457.7,51.48,0.0,0.5800765151169631,8.65,0.0,0.0,0.0
2,2,1,109.85,38.37,0.0,8.11,4.06,0.6951221823692322,-0.2969278395175934,224.17675048278534,-14.424932765890395,224.17675048278534,-14.424932765890395,0.5897772871708452,0.7256345938724622,4.962436354337899,-133.30938136255705,133.30938136255705,2020.2635802155803,333.86489015575233,1081.1390828503377,-1717.6337766108352,0.0,133.30938136255705,0.0,-541.2360883319816,0.0,110.5,51.48,0.0,0.5897772871708452,8.65,133.30938136255705,0.0,0.0
3,2,1,123.98,38.37,0.0,8.11,4.06,-0.4087870419025421,-0.46330970525741577,61.25577141513342,-21.63889341560904,61.25577141513342,-21.63889341560904,0.13477034242927993,0.3400702891927072,1.5597375599904877,47.5528595604661,-47.5528595604661,499.5425924727243,861.0869642322582,385.65369103538006,-873.1416238701812,0.0,0.0,47.5528595604661,385.65369103538006,0.0,124.71,51.48,0.0,0.13477034242927993,8.65,0.0,0.0,0.0
1,3,2,274.9,43.56,0.0,8.25,4.13,-0.11270566284656525,-0.47346964478492737,88.77691418606821,-22.04992280554733,88.77691418606821,-18.78556511719112,0.7229830975818481,0.9,2.271026981377542,163.61967791250044,-163.61967791250044,634.6428071327543,160.05953965290757,1349.8623427781285,-1072.2823447818953,8.639589768934655,0.0,154.98008814356578,1314.2672329301179,0.0,336.5,38.37,0.0,0.7229830975818481,8.11,0.0,0.0,0.0
2,3,2,112.45,43.56,0.0,8.25,4.13,-0.8789574503898621,-0.7992458939552307,41.17446931444475,-33.180748612467646,41.17446931444475,-18.507018454240292,0.7256345938724622,0.9,1.3245490172040892,47.54709815699964,-47.54709815699964,611.7555463233249,168.09418630956546,392.26355979524703,-586.0566462140687,0.0,0.0,47.54709815699964,392.26355979524703,0.0,109.85,38.37,0.0,0.7256345938724622,8.11,0.0,0.0,0.0
3,3,2,126.91,43.56,0.0,8.25,4.13,-0.177117720246315,0.250826358795166,82.4711431983991,12.284764729085232,82.4711431983991,12.284764729085232,0.3400702891927072,0.21007683567658253,2.7663181585496868,-8.639589768934655,8.639589768934655,651.7714918569818,890.9218059816623,71.27661559371091,-806.9849567161774,0.0,8.639589768934655,0.0,-35.68150574570013,0.0,123.98,38.37,0.0,0.3400702891927072,8.11,8.639589768934655,0.0,0.0
1,4,3,272.6,40.75,0.0,8.1,4.05,0.2591003179550171,-1.2849899530410767,125.34538372763038,-42.890436890387036,125.34538372763038,-0.18947368421052882,0.9,0.9,3.318118200868397,110.01220815744855,-110.01220815744855,907.2384632188437,111.40639664265923,891.0988860753332,-954.8718729684181,62.86402721910932,0.0,47.14818093833924,636.4995758379405,0.0,274.9,43.56,0.0,0.9,8.25,0.0,0.0,0.0
2,4,3,110.5,40.75,0.0,8.1,4.05,-0.026137791574001312,-0.4109494686126709,136.3415422751384,-19.463928303080834,136.3415422751384,-0.18947368421052882,0.9,0.9,3.538041371818558,-62.86402721910932,62.86402721910932,1280.6964828625078,119.10680096398887,509.19862047478546,-954.5009521506411,0.0,62.86402721910932,0.0,-254.59931023739273,0.0,112.45,43.56,0.0,0.9,8.25,62.86402721910932,0.0,0.0
3,4,3,124.71,40.75,0.0,8.1,4.05,-0.7887604236602783,0.34759360551834106,34.229375421456375,16.711985252994317,34.229375421456375,10.417384790496788,0.21007683567658253,0.09999999999999999,1.7079352042390634,41.02117499228589,-41.02117499228589,318.00334754522004,1065.388899520291,332.27151743751574,-857.8318822515134,0.0,0.0,41.02117499228589,332.27151743751574,0.0,126.91,43.56,0.0,0.21007683567658253,8.25,0.0,0.0,0.0
1,5,4,245.3,27.74,0.0,8.14,4.07,0.6518337726593018,-1.2473493814468384,157.2903155677253,-42.376934693077935,157.2903155677253,-0.18947368421052882,0.9,0.9,3.6968168376702955,64.15597495415554,-64.15597495415554,1163.0965763556849,111.40639664265923,522.2296361268261,-898.3663045625851,0.0,0.0,64.15597495415554,522.2296361268261,0.0,272.6,40.75,0.0,0.9,8.1,0.0,0.0,0.0
2,5,4,113.75,27.74,0.0,8.14,4.07,-0.8485391139984131,-1.1937708854675293,43.35723018741464,-41.587235462907934,43.35723018741464,-0.18947368421052882,0.9,0.9,1.4181551300640822,44.26039862685997,-44.26039862685997,625.555922976901,119.10680096398887,360.27964482264014,-552.471184381765,0.0,0.0,44.26039862685997,360.27964482264014,0.0,110.5,40.75,0.0,0.9,8.1,0.0,0.0,0.0
3,5,4,128.38,27.74,0.0,8.14,4.07,-0.20398081839084625,-0.5585075616836548,79.88019659515862,-25.34346328292939,79.88019659515862,-25.34346328292939,0.09999999999999999,0.3405629011878292,1.6455346662445844,47.748801354015356,-47.748801354015356,632.7219773946429,875.4533403307183,388.67524302168505,-948.4252803735232,0.0,0.0,47.748801354015356,388.67524302168505,0.0,124.71,40.75,0.0,0.09999999999999999,8.1,0.0,0.0,0.0
1,6,5,233.7,30.15,0.0,8.13,4.07,0.7594308853149414,0.6124639511108398,164.0741618753593,27.292960580573943,164.0741618753593,27.292960580573943,0.9,0.6109056780992217,4.430342449118665,16.613219993185396,-16.613219993185396,1219.558883747378,287.67002769083035,135.06547854459728,-821.1471949914028,16.613219993185396,0.0,0.0,67.61580537226456,0.0,245.3,27.74,0.0,0.9,8.14,0.0,0.0,0.0
2,6,5,120.25,30.15,0.0,8.13,4.07,1.0652028322219849,-1.5621528625488281,250.27058371419102,-45.788427255327385,250.27058371419102,-0.18947368421052882,0.9,0.9,5.60462220059961,-154.37648782938084,154.37648782938084,2262.5656900486833,119.10680096398887,1255.0808460528663,-1818.3766685327691,0.0,16.613219993185396,-137.76326783619544,-67.61580537226456,0.0,113.75,27.74,0.0,0.9,8.14,16.613219993185396,0.0,0.0
3,6,5,135.43,30.15,0.0,8.13,4.07,0.7814332246780396,-0.6884472370147705,165.35285702037842,-29.849177603031013,165.35285702037842,-29.849177603031013,0.3405629011878292,0.6234489626142481,3.313073588346948,-26.910605829000446,26.910605829000446,1328.4449888740148,516.964931727678,218.78322538977363,-1032.0965729957334,0.0,0.0,-26.910605829000446,0.0,0.0,128.38,27.74,0.0,0.3405629011878292,8.14,0.0,0.0,0.0
1,7,6,274.6,28.65,0.16,8.34,4.17,-0.6515696048736572,-0.7842275500297546,42.727433433697556,-32.75632590259317,42.727433433697556,-30.559592974418614,0.6109056780992217,0.9,0.8195568091855786,234.44171634990667,-234.44171634990667,322.1885511401816,191.86556385046043,1955.2439143582217,-1234.6490146744318,81.20341704705751,0.0,153.23829930284916,1616.6256652719917,0.0,233.7,30.15,0.0,0.6109056780992217,8.13,0.0,0.0,0.0
2,7,6,130.0,28.65,0.16,8.34,4.17,0.04376962035894394,-1.3109931945800781,146.123836709007,-43.22632516389503,146.123836709007,-0.18947368421052882,0.9,0.9,3.4948872604959296,-41.24947576430054,41.24947576430054,1357.25992748182,119.10680096398887,344.0206278742665,-910.1936781600376,0.0,41.24947576430054,0.0,-172.01031393713325,0.0,120.25,30.15,0.0,0.9,8.13,41.24947576430054,0.0,0.0
3,7,6,146.72,28.65,0.16,8.34,4.17,0.821870744228363,-0.11926358938217163,167.60867993065546,-5.935066376821829,167.60867993065546,-5.935066376821829,0.6234489626142481,0.678585195268827,3.8096722710766726,-39.95394128275697,39.95394128275697,1348.6867914840286,372.345679029487,333.2158702981931,-1027.1241704058543,0.0,39.95394128275697,0.0,-166.60793514909656,0.0,135.43,30.15,0.0,0.6234489626142481,8.13,39.95394128275697,0.0,0.0
1,8,7,291.0,23.38,1.77,9.35,4.68,-0.2611423134803772,-0.953928530216217,74.46363337273067,-37.07782082819259,74.46363337273067,-0.18947368421052882,0.9,0.9,1.9884831937704028,193.5643235052503,-193.5643235052503,533.8451277220738,111.40639664265923,1809.8264247740901,-1227.5389745694115,0.0,0.0,193.5643235052503,1809.8264247740901,0.0,274.6,28.65,0.16,0.9,8.34,0.0,0.0,0.0
2,8,7,157.95,23.38,1.77,9.35,4.68,-1.2081540822982788,-0.3065721094608307,22.942511478538776,-14.865770685882504,22.942511478538776,-0.18947368421052882,0.9,0.9,0.958060755886565,111.0050229615583,-111.0050229615583,499.31379232846615,119.10680096398887,1037.89696469057,-828.1587789915125,0.0,0.0,111.0050229615583,1037.89696469057,0.0,130.0,28.65,0.16,0.9,8.34,0.0,0.0,0.0
3,8,7,178.26,23.38,1.77,9.35,4.68,-0.3323076665401459,-1.3356413841247559,67.94072086768554,-43.53106881322847,67.94072086768554,-23.449681591759017,0.678585195268827,0.9,1.3928207855185304,110.011781509592,-110.011781509592,546.5870329854502,190.74504638054134,1028.610157114685,-882.9711182403382,0.0,0.0,110.011781509592,1028.610157114685,0.0,146.72,28.65,0.16,0.678585195268827,8.34,0.0,0.0,0.0
1,9,8,315.7,21.75,5.3,12.0,6.0,-1.3828661441802979,-0.4900423586368561,11.840854918097376,-22.712502577656675,11.840854918097376,-0.18947368421052882,0.9,0.9,0.774027624677737,277.7726463907909,-277.7726463907909,131.86535747756758,111.40639664265923,3333.2717566894908,-1788.2717554048588,0.0,0.0,277.7726463907909,3333.2717566894908,0.0,291.0,23.38,1.77,0.9,9.35,0.0,0.0,0.0
2,9,8,165.1,21.75,5.3,12.0,6.0,-0.5176175832748413,-0.9135375022888184,73.37971690533568,-36.14129077931481,73.37971690533568,-0.18947368421052882,0.9,0.9,2.004804864422503,66.86456164329734,-66.86456164329734,822.7196217059214,119.10680096398887,802.374739719568,-872.1005811947391,0.0,0.0,66.86456164329734,802.374739719568,0.0,157.95,23.38,1.77,0.9,9.35,0.0,0.0,0.0
